species,source,classification,analysis
aberts_towhee,all_about_birds,Deserts,1
aberts_towhee,partners_in_flight,Aridlands: Desert Scrub,1
acadian_flycatcher,all_about_birds,Forests,1
acorn_woodpecker,all_about_birds,Open Woodlands,0
alder_flycatcher,peterjohn_2006,shrubland,1
allens_hummingbird,all_about_birds,Open Woodlands,0
allens_hummingbird,partners_in_flight,Aridlands: Chaparral,0
altamira_oriole,all_about_birds,Open Woodlands,0
american_avocet,all_about_birds,Marshes,0
american_bittern,all_about_birds,Marshes,0
american_bittern,hand_entered,facultative,0
american_bittern,vickery_1999_facultative,facultative grassland,0
american_black_duck,all_about_birds,Lakes and Ponds,0
american_coot,all_about_birds,Lakes and Ponds,0
american_crow,all_about_birds,Open Woodlands,1
american_crow,partners_in_flight,Open Country: Developed/Disturbed; Open Country: Habitat Mosaic,1
american_crow,hand_entered,facultative,1
american_crow,vgbi,facultative grassland,1
american_dipper,all_about_birds,Rivers and Streams,0
american_golden_plover,all_about_birds,Grasslands,0
american_golden_plover,hand_entered,obligate,0
american_golden_plover,vickery_1999_obligate,grassland obligate,0
american_goldfinch,all_about_birds,Open Woodlands,1
american_goldfinch,partners_in_flight,Open Country: Habitat Mosaic,1
american_goldfinch,hand_entered,facultative,1
american_goldfinch,vgbi,facultative grassland,1
american_kestrel,all_about_birds,Grasslands,1
american_kestrel,partners_in_flight,Open Country: Developed/Disturbed; Open Country: Habitat Mosaic,1
american_kestrel,hand_entered,facultative,1
american_kestrel,vgbi,facultative grassland,1
american_kestrel,vickery_1999_facultative,facultative grassland,1
american_oystercatcher,all_about_birds,Shorelines,0
american_pipit,all_about_birds,Tundra,0
american_pipit,partners_in_flight,Open Country: Developed/Disturbed,0
american_pipit,hand_entered,obligate,0
american_pipit,vgbi,facultative grassland,0
american_pipit,vickery_1999_obligate,grassland obligate,0
american_redstart,all_about_birds,Forests,1
american_robin,all_about_birds,Open Woodlands,1
american_robin,hand_entered,facultative,1
american_robin,vgbi,facultative grassland,1
american_three_toed_woodpecker,all_about_birds,Forests,0
american_tree_sparrow,all_about_birds,Open Woodlands,0
american_tree_sparrow,partners_in_flight,Open Country: Habitat Mosaic,0
american_tree_sparrow,hand_entered,facultative,0
american_tree_sparrow,vgbi,facultative grassland,0
american_white_pelican,all_about_birds,Lakes and Ponds,0
american_wigeon,all_about_birds,Lakes and Ponds,0
american_wigeon,hand_entered,facultative,0
american_wigeon,vickery_1999_facultative,facultative grassland,0
american_woodcock,all_about_birds,Forests,0
american_woodcock,hand_entered,facultative,0
american_woodcock,vgbi,facultative grassland,0
anhinga,all_about_birds,Marshes,0
annas_hummingbird,all_about_birds,Open Woodlands,0
annas_hummingbird,partners_in_flight,Aridlands: Chaparral,0
antillean_nighthawk,partners_in_flight,Open Country Aerial: Habitat Mosaic,0
antillean_nighthawk,hand_entered,facultative,0
aplomado_falcon,hand_entered,obligate,0
aplomado_falcon,vickery_1999_obligate,grassland obligate,0
arctic_tern,all_about_birds,Shorelines,0
arctic_warbler,all_about_birds,Forests,0
arizona_woodpecker,all_about_birds,Open Woodlands,0
ash_throated_flycatcher,all_about_birds,Open Woodlands,1
ash_throated_flycatcher,partners_in_flight,Aridlands: Desert Scrub,1
ash_throated_flycatcher,hand_entered,facultative,1
ash_throated_flycatcher,vickery_1999_facultative,facultative grassland,1
audubons_oriole,all_about_birds,Open Woodlands,0
bachmans_sparrow,all_about_birds,Open Woodlands,1
bachmans_sparrow,hand_entered,obligate,1
bachmans_sparrow,vickery_1999_obligate,grassland obligate,1
bairds_sandpiper,hand_entered,obligate,0
bairds_sandpiper,vickery_1999_obligate,grassland obligate,0
bairds_sparrow,all_about_birds,Grasslands,1
bairds_sparrow,hand_entered,obligate,1
bairds_sparrow,vickery_1999_obligate,grassland obligate,1
bald_eagle,all_about_birds,Forests,0
baltimore_oriole,all_about_birds,Forests,1
band_tailed_pigeon,all_about_birds,Forests,0
