key,paper,bmp,response_class,treatment,control,response_var,sign,treatment_control_flag,response_flag,response_flag_notes,species,link,error_class,beta,n,sd,se,lcl,ucl,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,baseline_survival,beta_is_derived,notes,survival_scale
47Y8JMQT,Assandri et al. 2017,eliminate_pesticides,abundance,Organic vineyard,Conventional vineyard,Abundance of nests,1,apples,0,NA,all_species,NA,standard_error,-0.384,21,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47Y8JMQT,Assandri et al. 2017,eliminate_pesticides,nest_success,Conventional vineyard,Organic vineyard,Daily nest failure,1,apples,0,NA,all_species,logit,standard_error,0.411,26,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9387,TRUE,Only spalliera can be computed here (missing design-wide cov) ; sample size estimated from proportions in Fig 4a but is an underestimate because we don't know the number of nest days (sample size should be intervals x nests); Model results are from Table 3,daily_survival
RAN8HLMY,Chamberlain et al. 2010,eliminate_pesticides,abundance,Organic farm,Conventional farm,Abundance (2001),1,apples,0,NA,farmland_bird_indicator_species,NA,confidence_intervals,0.169,86,NA,NA,-0.542,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is already an effect size; FBI represents ""Farmland bird indicator species""",NA
RAN8HLMY,Chamberlain et al. 2010,eliminate_pesticides,species_richness,Organic farm,Conventional farm,species_richness (2001),1,apples,0,NA,farmland_bird_indicator_species,NA,confidence_intervals,0.001,86,NA,NA,-1.028,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is already an effect size; FBI represents ""Farmland bird indicator species""",NA
RAN8HLMY,Chamberlain et al. 2010,eliminate_pesticides,abundance,Organic farm,Conventional farm,Abundance (2003),1,apples,0,NA,farmland_bird_indicator_species,NA,confidence_intervals,0.052,86,NA,NA,-0.61,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is already an effect size; FBI represents ""Farmland bird indicator species""",NA
ZHWJP6Y8,Codesido and Bilenca 2021,rotational_grazing,abundance,Rotationally grazed fields,Continually grazed fields,Total abundance,1,apples,0,NA,all_species,NA,standard_error,0.11,237,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is rotational grazing, but not summer pasture stockpiling (cattle were rotated every 15-30 days during the spring and summer)",NA
5QFBJNUI,Conkling et al. 2017,plant_nwsg,nest_success,Multiharvest mixed NWSG,multiharvest monoculture NWSG (switchgrass),Nest survival,1,oranges,0,NA,dickcissel,NA,standard_deviation,0.001,94,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not sure that this qualifies as a test of plant nwsg,period_survival
5QFBJNUI,Conkling et al. 2017,plant_nwsg,abundance,Multiharvest mixed NWSG,multiharvest monoculture NWSG (switchgrass),Nest density,1,oranges,0,NA,dickcissel,NA,standard_deviation,3.989,94,1.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4DES8R2Q,Conkling et al. 2018,plant_nwsg,abundance,Multi-harvest NWSG (summer),multi-harvest monoculture NWSG (switchgrass; Summer),relative density (per 10ha),1,oranges,0,NA,all_species,NA,standard_error,1.54,16,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not sure that this qualifies as a test of plant nwsg; Obtained from supplemental information, table S4; I'm a little unclear on the sample size (might want to double-check)",NA
4DES8R2Q,Conkling et al. 2018,plant_nwsg,abundance,Multi-harvest NWSG (early winter),multi-harvest monoculture NWSG (switchgrass; early winter),relative density (per 10ha),1,oranges,0,NA,all_species,NA,standard_error,-0.5,16,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obtained from supplemental information, table S4; I'm a little unclear on the sample size (might want to double-check)",NA
4DES8R2Q,Conkling et al. 2018,plant_nwsg,abundance,Multi-harvest NWSG (late winter),multi-harvest monoculture NWSG (switchgrass; late winter),relative density (per 10ha),1,oranges,0,NA,all_species,NA,standard_error,-1.58,16,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obtained from supplemental information, table S4; I'm a little unclear on the sample size (might want to double-check)",NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"narrow border, border zone","no border, border zone",abundance,1,apples,0,NA,all_species,NA,standard_error,2.03,93,NA,1.69,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"narrow border, border zone","no border, border zone",abundance,1,apples,0,NA,all_species,NA,standard_error,2.03,93,NA,1.69,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"narrow border, border zone","no border, border zone",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.36,93,NA,0.4,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"narrow border, border zone","no border, border zone",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.36,93,NA,0.4,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"wide border, border zone","no border, border zone",abundance,1,apples,0,NA,all_species,NA,standard_error,9.69,60,NA,2.67,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"wide border, border zone","no border, border zone",abundance,1,apples,0,NA,all_species,NA,standard_error,9.69,60,NA,2.67,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"wide border, border zone","no border, border zone",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.95,60,NA,0.64,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"wide border, border zone","no border, border zone",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.95,60,NA,0.64,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"narrow border, ag field","no border, ag field",abundance,1,apples,0,NA,all_species,NA,standard_error,5,93,NA,8.89,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"narrow border, ag field","no border, ag field",abundance,1,apples,0,NA,all_species,NA,standard_error,5,93,NA,8.89,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"narrow border, ag field","no border, ag field",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.22,93,NA,0.3,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"narrow border, ag field","no border, ag field",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.22,93,NA,0.3,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"wide border, ag field","no border, ag field",abundance,1,apples,0,NA,all_species,NA,standard_error,13.25,60,NA,14.08,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"wide border, ag field","no border, ag field",abundance,1,apples,0,NA,all_species,NA,standard_error,13.25,60,NA,14.08,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"wide border, ag field","no border, ag field",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.03,60,NA,0.47,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"wide border, ag field","no border, ag field",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.03,60,NA,0.47,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"narrow border, wooded edge","no border, wooded edge",abundance,1,apples,0,NA,all_species,NA,standard_error,3.17,93,NA,6.25,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"narrow border, wooded edge","no border, wooded edge",abundance,1,apples,0,NA,all_species,NA,standard_error,3.17,93,NA,6.25,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"narrow border, wooded edge","no border, wooded edge",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.54,93,NA,0.63,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"narrow border, wooded edge","no border, wooded edge",species_richness,1,apples,0,NA,all_species,NA,standard_error,0.54,93,NA,0.63,NA,NA,NA,51,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,abundance,"wide border, wooded edge","no border, wooded edge",abundance,1,apples,0,NA,all_species,NA,standard_error,8.93,60,NA,10.24,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,abundance,"wide border, wooded edge","no border, wooded edge",abundance,1,apples,0,NA,all_species,NA,standard_error,8.93,60,NA,10.24,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,edge_and_shrub_habitat,species_richness,"wide border, wooded edge","no border, wooded edge",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.48,60,NA,1.01,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TL3GWJHM,Conover et al. 2007,provide_overwintering_habitat,species_richness,"wide border, wooded edge","no border, wooded edge",species_richness,1,apples,0,NA,all_species,NA,standard_error,1.48,60,NA,1.01,NA,NA,NA,18,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
TBUA95JI,Contreras et al. 2022,eliminate_pesticides,occupancy,Organic farm,Conventional farm,Occupancy in spring,1,apples,0,NA,carnivores,NA,confidence_intervals,-0.642,310,NA,NA,-1.386,0.091,NA,154,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,Bayesian occupancy model; LCL/UCL here represents bayesian credible intervals at 95%,NA
TBUA95JI,Contreras et al. 2022,eliminate_pesticides,occupancy,Organic farm,Conventional farm,Occupancy in spring,1,apples,0,NA,insectivores,NA,confidence_intervals,0.294,310,NA,NA,-0.068,0.649,NA,154,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,Bayesian occupancy model; LCL/UCL here represents bayesian credible intervals at 95%,NA
TBUA95JI,Contreras et al. 2022,eliminate_pesticides,occupancy,Organic farm,Conventional farm,Occupancy in summer,1,apples,0,NA,omnivores,NA,confidence_intervals,0.569,310,NA,NA,-0.161,1.297,NA,154,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,Bayesian occupancy model; LCL/UCL here represents bayesian credible intervals at 95%,NA
4G526MHA,Coon et al. 2022,plant_nwsg,abundance,Herbicide spraying and seeding (native seed mix),Herbicide spraying only,Male abundance per patch,1,apples,0,NA,dickcissel,log,standard_error,0.6,4,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,from supplemental table S4; B = B_treatment - B_control; SE = sqrt(SE_control^2 + se_treatment^2),NA
