key,paper,bmp,response_class,response_var,treatment,control,sign,treatment_control_flag,response_flag,response_flag_notes,species,link,error_class,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes,baseline_survival,beta_is_derived,survival_scale
ECNPR7UT,Adams et al. 2013,prescribed_fire,abundance,nest density,2-year post-burn field,Control field,1,apples,0,NA,dickcissel,NA,standard_error,0.75,5,NA,0.46,NA,NA,0.77,31,NA,0.22,NA,NA,"nest_success was also evaluated, but I do not think in a usable way",NA,NA,NA
ECNPR7UT,Adams et al. 2013,prescribed_fire,abundance,nest density,2-year post-burn field,Control field,1,apples,0,NA,red_winged_blackbird,NA,standard_error,0.92,5,NA,0.59,NA,NA,1.06,31,NA,0.37,NA,NA,"nest_success was also evaluated, but I do not think in a usable way",NA,NA,NA
ECNPR7UT,Adams et al. 2013,prescribed_fire,abundance,nest density,1-year post-burn field,Control field,1,apples,0,NA,dickcissel,NA,standard_error,0.27,5,NA,0.27,NA,NA,0.53,31,NA,0.14,NA,NA,"nest_success was also evaluated, but I do not think in a usable way",NA,NA,NA
ECNPR7UT,Adams et al. 2013,prescribed_fire,abundance,nest density,1-year post-burn field,Control field,1,apples,0,NA,red_winged_blackbird,NA,standard_error,2.39,5,NA,1.84,NA,NA,1.04,31,NA,0.35,NA,NA,"nest_success was also evaluated, but I do not think in a usable way",NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2014,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,bobolink,NA,standard_error,9.72,5,NA,2.32,NA,NA,0.07,5,NA,0.07,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2015,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,bobolink,NA,standard_error,3.57,5,NA,2.19,NA,NA,0,5,NA,0,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2016,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,bobolink,NA,standard_error,6.17,5,NA,4.92,NA,NA,0.15,5,NA,0.15,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2014,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,1.61,5,NA,0.68,NA,NA,0.08,5,NA,0.08,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2015,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,7.08,5,NA,2.36,NA,NA,0.36,5,NA,0.36,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2016,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,5.3,5,NA,1.57,NA,NA,0.6,5,NA,0.39,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2014,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,eastern_meadowlark,NA,standard_error,0.23,5,NA,0.16,NA,NA,0.74,5,NA,0.27,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2015,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,eastern_meadowlark,NA,standard_error,1.32,5,NA,0.81,NA,NA,0.49,5,NA,0.33,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
N87HY4T4,Allen et al. 2019,manage_in_patches,abundance,abundance 2016,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,1,apples,0,NA,eastern_meadowlark,NA,standard_error,0.33,5,NA,0.2,NA,NA,0.48,5,NA,0.48,NA,NA,Pretty cool way to test the manage_in_patches idea!,NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,density,NWSG grass mix,CSG grass mix,1,apples,0,NA,dickcissel,NA,standard_deviation,9.6,26,5.6,NA,NA,NA,36.8,19,16.2,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,abundance,NWSG grass mix,CSG grass mix,1,apples,0,NA,grasshopper_sparrow,NA,standard_deviation,53.8,26,16.6,NA,NA,NA,26.3,19,13.4,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,density,NWSG grass mix,CSG grass mix,1,apples,0,NA,savannah_sparrow,NA,standard_deviation,21.2,26,6.9,NA,NA,NA,15.8,19,7.7,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,density,NWSG grass mix,CSG grass mix,1,apples,0,NA,red_winged_blackbird,NA,standard_deviation,55.8,26,14.8,NA,NA,NA,81.6,19,15.9,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,density,NWSG grass mix,CSG grass mix,1,apples,0,NA,bobolink,NA,standard_deviation,65.4,26,8.1,NA,NA,NA,50,19,13.7,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
RI9YTV8X,Bakker and Higgins 2009,plant_nwsg,abundance,density,NWSG grass mix,CSG grass mix,1,apples,0,NA,western_meadowlark,NA,standard_deviation,44.2,26,14.2,NA,NA,NA,23.7,19,11.1,NA,NA,NA,"Looks like SD, but was no readable?",NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,Year of burn,Unburned,1,apples,0,NA,red_winged_blackbird,NA,standard_error,0.64,10,NA,0.13,NA,NA,1.19,10,NA,0.24,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,1-year post-burn,Unburned,1,apples,0,NA,red_winged_blackbird,NA,standard_error,0.24,4,NA,0.06,NA,NA,0.92,9,NA,0.21,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,Year of burn,Unburned,1,apples,0,NA,dickcissel,NA,standard_error,0.68,10,NA,0.17,NA,NA,0.7,10,NA,0.15,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,1-year post-burn,Unburned,1,apples,0,NA,dickcissel,NA,standard_error,0.58,4,NA,0.12,NA,NA,0.75,9,NA,0.17,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,Year of burn,Unburned,1,apples,0,NA,common_yellowthroat,NA,standard_error,0.06,10,NA,0.02,NA,NA,0.43,10,NA,0.11,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,1-year post-burn,Unburned,1,apples,0,NA,common_yellowthroat,NA,standard_error,0.03,4,NA,0.03,NA,NA,0.15,9,NA,0.07,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,Year of burn,Unburned,1,apples,0,NA,american_goldfinch,NA,standard_error,0.1,10,NA,0.03,NA,NA,0.1,10,NA,0.03,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,1-year post-burn,Unburned,1,apples,0,NA,american_goldfinch,NA,standard_error,0.03,4,NA,0.03,NA,NA,0.07,9,NA,0.04,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,Year of burn,Unburned,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,0.06,10,NA,0.06,NA,NA,0,10,NA,0,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,abundance,density,1-year post-burn,Unburned,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,0.06,4,NA,0.04,NA,NA,0.02,9,NA,0.01,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,species_richness,species_richness,Year of burn,Unburned,1,apples,0,NA,all_species,NA,standard_error,5.7,10,NA,0.33,NA,NA,5.8,10,NA,0.39,NA,NA,NA,NA,NA,NA
3NTX2A2K,Benson et al. 2011,prescribed_fire,species_richness,species_richness,1-year post-burn,Unburned,1,apples,0,NA,all_species,NA,standard_error,4,4,NA,0.41,NA,NA,5,9,NA,0.67,NA,NA,NA,NA,NA,NA
U3SWA47K,Berges et al. 2010,stream_exclusion_and_buffers,species_richness,species_richness,Riparian buffer (2 yr.),pasture,1,apples,0,NA,all_species,NA,standard_error,18.5,4,NA,0.5,NA,NA,11.5,4,NA,0.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings,NA,NA,NA
U3SWA47K,Berges et al. 2010,stream_exclusion_and_buffers,species_richness,species_richness,Riparian buffer (2 yr.),crop,1,apples,0,NA,all_species,NA,standard_error,18.5,4,NA,0.5,NA,NA,14.5,4,NA,0.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings,NA,NA,NA
U3SWA47K,Berges et al. 2010,stream_exclusion_and_buffers,abundance,abundance,Riparian buffer (2 yr.),pasture,1,apples,0,NA,all_species,NA,standard_error,43,4,NA,2,NA,NA,26,4,NA,2,NA,NA,Estimated from plot; sites were measured before and after buffer plantings,NA,NA,NA
U3SWA47K,Berges et al. 2010,stream_exclusion_and_buffers,abundance,abundance,Riparian buffer (2 yr.),crop,1,apples,0,NA,all_species,NA,standard_error,43,4,NA,2,NA,NA,25,4,NA,1.5,NA,NA,Estimated from plot; sites were measured before and after buffer plantings,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,filter strips,non-buffered field edges,1,apples,0,NA,breeding_species,NA,confidence_intervals,4.6,67,NA,NA,3.9,5.3,1.9,15,NA,NA,0.8,3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,species_richness,species_richness,filter strips,non-buffered field edges,1,apples,0,NA,breeding_species,NA,confidence_intervals,4.6,67,NA,NA,3.9,5.3,1.9,15,NA,NA,0.8,3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,species_richness,species_richness,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,1.6,67,NA,NA,1.2,2,0.2,15,NA,NA,-0.2,0.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,provide_overwintering_habitat,species_richness,species_richness,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,1.6,67,NA,NA,1.2,2,0.2,15,NA,NA,-0.2,0.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,species_richness,species_richness,filter strips,non-buffered field edges,1,apples,0,NA,wintering_species,NA,confidence_intervals,1.6,67,NA,NA,1.2,2,0.2,15,NA,NA,-0.2,0.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_species,NA,confidence_intervals,6.4,67,NA,NA,4.8,8.5,1.2,15,NA,NA,0.5,2.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_species,NA,confidence_intervals,6.4,67,NA,NA,4.8,8.5,1.2,15,NA,NA,0.5,2.3,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.9,67,NA,NA,1.3,2.7,0.2,15,NA,NA,-0.2,0.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,edge_and_shrub_habitat,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_grassland_species,NA,confidence_intervals,1.9,67,NA,NA,1.3,2.7,0.2,15,NA,NA,-0.2,0.7,NA,NA,NA,NA
55UE5VCT,Blank et al. 2011,stream_exclusion_and_buffers,abundance,density,filter strips,non-buffered field edges,1,apples,0,NA,breeding_shrub_scrub_species,NA,confidence_intervals,3.9,67,NA,NA,2.8,5.3,0.7,15,NA,NA,0.2,1.5,NA,NA,NA,NA
