key,paper,bmp,response_class,treatment,control,response_var,species,error_class,beta,n,sd,se,lcl,ucl,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (1-year),NA,abundance,bobolink,standard_error,0.065,298,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (2-year),NA,abundance,bobolink,standard_error,-0.375,298,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (3-year),NA,abundance,bobolink,standard_error,-0.46,298,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (>3 years),NA,abundance,bobolink,standard_error,-0.24,298,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (1-year),NA,abundance,dickcissel,standard_error,0.608,298,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (2-year),NA,abundance,dickcissel,standard_error,0.133,298,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (3-year),NA,abundance,dickcissel,standard_error,-0.41,298,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (>3 years),NA,abundance,dickcissel,standard_error,0.125,298,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (1-year),NA,abundance,eastern_meadowlark,standard_error,0.926,298,NA,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (2-year),NA,abundance,eastern_meadowlark,standard_error,-0.286,298,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (3-year),NA,abundance,eastern_meadowlark,standard_error,0.077,298,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (>3 years),NA,abundance,eastern_meadowlark,standard_error,0.398,298,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (1-year),NA,abundance,grasshopper_sparrow,standard_error,0.278,298,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (2-year),NA,abundance,grasshopper_sparrow,standard_error,0.317,298,NA,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6S3L3WXJ,Ahlering et al. 2019,Prescribed fire,abundance,Time since fire (3-year),NA,abundance,grasshopper_sparrow,standard_error,0.22,298,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
