key,paper,bmp,response_class,predictor_var,response_var,species,error_class,beta,n,sd,se,lcl,ucl,notes,analysis_class,species_include,survival_scale
XL4JC3D8,Assandri et al. 2019,delay_hay,occupancy,Percent cover of early mown meadows (before the end of the fourth week of June),occupancy,tree_pipit,standard_error; confidence_intervals,-2.34,63,NA,0.71,-4.31,-1.24,"Model-averaged beta; Bernouilli error distribution, converted to 0-1",other,FALSE,NA
XL4JC3D8,Assandri et al. 2019,delay_hay,abundance,Percent cover of early mown meadows (before the end of the fourth week of June),density,whinchat,standard_error; confidence_intervals,-1.3,63,NA,0.29,-1.66,-0.64,Model-averaged beta; A little unclear whether this refers to abundance or density,obligate,TRUE,NA
TMHIYH9Y,Besnard and Secondi 2014,stream_exclusion_and_buffers,abundance,Hedge density wthin 250-m,abundance,grassland_species,standard_error,-0.001,99,NA,2e-4,NA,NA,"Values are from table 2; The paper also looks at buffer length, but provides a plot without quantitative results ... may be in supplemental, but this was not accessible",facultative,TRUE,NA
TMHIYH9Y,Besnard and Secondi 2014,edge_and_shrub_habitat,abundance,Hedge density wthin 250-m,abundance,grassland_species,standard_error,-0.001,99,NA,2e-4,NA,NA,"Values are from table 2; The paper also looks at buffer length, but provides a plot without quantitative results ... may be in supplemental, but this was not accessible",facultative,TRUE,NA
TMHIYH9Y,Besnard and Secondi 2014,stream_exclusion_and_buffers,species_richness,Hedge density wthin 250-m,species_richness,grassland_species,standard_error,-0.001,99,NA,2e-4,NA,NA,"Values are from table 2; The paper also looks at buffer length, but provides a plot without quantitative results ... may be in supplemental, but this was not accessible",facultative,TRUE,NA
TMHIYH9Y,Besnard and Secondi 2014,edge_and_shrub_habitat,species_richness,Hedge density wthin 250-m,species_richness,grassland_species,standard_error,-0.001,99,NA,2e-4,NA,NA,"Values are from table 2; The paper also looks at buffer length, but provides a plot without quantitative results ... may be in supplemental, but this was not accessible",facultative,TRUE,NA
YBANTZ24,Boatman et al. 2004,eliminate_pesticides,nest_success,Proportion of yellowhammer range sprayed with pesticides,Brood reduction of nests in which at least one chick survived to fledging,yellowhammer,standard_error,2.6,64,NA,0.928,NA,NA,This response could introduce bias by not including all nests!,shrub,FALSE,period_survival
YBANTZ24,Boatman et al. 2004,eliminate_pesticides,nest_success,Proportion of yellowhammer range sprayed with pesticides,Brood reduction of nests in which brood reduction was observed,yellowhammer,standard_error,2.08,95,NA,0.845,NA,NA,This response could introduce bias by not including all nests!,shrub,FALSE,period_survival
VEK3WELY,Byers et al. 2017,edge_and_shrub_habitat,nest_success,Distance to edge,Nest survival,bobolink,standard_error,0.04,11,NA,0.01,NA,NA,NA,obligate,TRUE,period_survival
VEK3WELY,Byers et al. 2017,edge_and_shrub_habitat,nest_success,Distance to edge,Nest survival,eastern_meadowlark,standard_error,-0.017,11,NA,0.007,NA,NA,NA,obligate,TRUE,period_survival
