effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,region,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c
md_0001,ECNPR7UT,mean_diff,1,mean_difference,categorical,abundance,nest density,,,,,2-year post-burn field,Control field,dickcissel,1,apples,0,,"nest_success was also evaluated, but I do not think in a usable way",prescribed_fire,Adams et al. 2013,southeast_us,species,obligate,TRUE,0.75,0.77,5,31,,,0.46,0.22,,,,,,
md_0002,ECNPR7UT,mean_diff,2,mean_difference,categorical,abundance,nest density,,,,,2-year post-burn field,Control field,red_winged_blackbird,1,apples,0,,"nest_success was also evaluated, but I do not think in a usable way",prescribed_fire,Adams et al. 2013,southeast_us,species,facultative,TRUE,0.92,1.06,5,31,,,0.59,0.37,,,,,,
md_0003,ECNPR7UT,mean_diff,3,mean_difference,categorical,abundance,nest density,,,,,1-year post-burn field,Control field,dickcissel,1,apples,0,,"nest_success was also evaluated, but I do not think in a usable way",prescribed_fire,Adams et al. 2013,southeast_us,species,obligate,TRUE,0.27,0.53,5,31,,,0.27,0.14,,,,,,
md_0004,ECNPR7UT,mean_diff,4,mean_difference,categorical,abundance,nest density,,,,,1-year post-burn field,Control field,red_winged_blackbird,1,apples,0,,"nest_success was also evaluated, but I do not think in a usable way",prescribed_fire,Adams et al. 2013,southeast_us,species,facultative,TRUE,2.39,1.04,5,31,,,1.84,0.35,,,,,,
md_0005,N87HY4T4,mean_diff,5,mean_difference,categorical,abundance,abundance 2014,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,bobolink,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,9.72,0.07,5,5,,,2.32,0.07,,,,,,
md_0006,N87HY4T4,mean_diff,6,mean_difference,categorical,abundance,abundance 2015,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,bobolink,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,3.57,0,5,5,,,2.19,0,,,,,,
md_0007,N87HY4T4,mean_diff,7,mean_difference,categorical,abundance,abundance 2016,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,bobolink,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,6.17,0.15,5,5,,,4.92,0.15,,,,,,
md_0008,N87HY4T4,mean_diff,8,mean_difference,categorical,abundance,abundance 2014,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,grasshopper_sparrow,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,1.61,0.08,5,5,,,0.68,0.08,,,,,,
md_0009,N87HY4T4,mean_diff,9,mean_difference,categorical,abundance,abundance 2015,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,grasshopper_sparrow,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,7.08,0.36,5,5,,,2.36,0.36,,,,,,
md_0010,N87HY4T4,mean_diff,10,mean_difference,categorical,abundance,abundance 2016,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,grasshopper_sparrow,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,5.3,0.6,5,5,,,1.57,0.39,,,,,,
md_0011,N87HY4T4,mean_diff,11,mean_difference,categorical,abundance,abundance 2014,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,eastern_meadowlark,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,0.23,0.74,5,5,,,0.16,0.27,,,,,,
md_0012,N87HY4T4,mean_diff,12,mean_difference,categorical,abundance,abundance 2015,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,eastern_meadowlark,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,1.32,0.49,5,5,,,0.81,0.33,,,,,,
md_0013,N87HY4T4,mean_diff,13,mean_difference,categorical,abundance,abundance 2016,,,,,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,eastern_meadowlark,1,apples,0,,Pretty cool way to test the manage_in_patches idea!,manage_in_patches,Allen et al. 2019,other,species,obligate,TRUE,0.33,0.48,5,5,,,0.2,0.48,,,,,,
md_0014,RI9YTV8X,mean_diff,14,mean_difference,categorical,abundance,density,,,,,NWSG grass mix,CSG grass mix,dickcissel,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,obligate,TRUE,9.6,36.8,26,19,5.6,16.2,,,,,,,,
md_0015,RI9YTV8X,mean_diff,15,mean_difference,categorical,abundance,abundance,,,,,NWSG grass mix,CSG grass mix,grasshopper_sparrow,1,apples,0,,"Looks like SD, but was no readable?",plant_nwsg,Bakker and Higgins 2009,multiple,species,obligate,TRUE,53.8,26.3,26,19,16.6,13.4,,,,,,,,
