effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c,model,test_statistic,test_stat_value,df,global_n,global_sd,global_se,global_lcl,global_ucl
tc_0001,LGTIZWRQ,other_categorical,1,test_statistic,categorical,abundance,nest density,,,,,1-year post-nest box installation,Pre-nest box installation,bird_and_mammal_species,1,apples,1,-1,Usable -- converts to effect size without issue,install_nest_boxes,Aitken and Martin 2012,non_bird,other,TRUE,,,,,,,,,,,,,,,Linear mixed effects model,t,-8.69,2,3,,,,
tc_0002,GS4TG5A4,other_categorical,2,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,lark_bunting,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-5.92,45,27,,,,
tc_0002,GS4TG5A4,other_categorical,2,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,lark_bunting,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-5.92,45,27,,,,
tc_0003,GS4TG5A4,other_categorical,4,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,western_meadowlark,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-3.28,45,27,,,,
tc_0003,GS4TG5A4,other_categorical,4,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,western_meadowlark,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-3.28,45,27,,,,
tc_0004,GS4TG5A4,other_categorical,6,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,grasshopper_sparrow,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-2.85,45,27,,,,
tc_0004,GS4TG5A4,other_categorical,6,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,grasshopper_sparrow,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-2.85,45,27,,,,
tc_0005,GS4TG5A4,other_categorical,8,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,horned_lark,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-1.59,45,27,,,,
tc_0005,GS4TG5A4,other_categorical,8,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,horned_lark,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,-1.59,45,27,,,,
tc_0006,GS4TG5A4,other_categorical,10,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,mccowns_longspur,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,1.6,45,27,,,,
tc_0006,GS4TG5A4,other_categorical,10,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,mccowns_longspur,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,1.6,45,27,,,,
tc_0007,GS4TG5A4,other_categorical,12,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,mountain_plover,1,apples,0,1,Usable -- converts to effect size without issue,prescribed_fire,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,6.6,45,27,,,,
tc_0007,GS4TG5A4,other_categorical,12,test_statistic,categorical,abundance,Density,,,,,Recently burned fields,Unburned fields,mountain_plover,1,apples,0,1,Usable -- converts to effect size without issue,manage_in_patches,Augustine and Derner 2015,species,obligate,TRUE,,,12,15,,,,,,,,,,,t-test,t,6.6,45,27,,,,
tc_0008,QADRA6RL,other_categorical,14,test_statistic,categorical,nest_success,abandonment,period_survival,,,,Pre-haying,1-day post-haying,bobolink,-1,oranges,0,1,Not usable -- There are less nests post-nesting because the number does not include nests that were destroyed during haying,delay_hay,Bollinger et al. 1990,species,obligate,TRUE,,,31,63,,,,,,,,,,,chi-square,chi_square,33.6,1,94,,,,
tc_0009,QADRA6RL,other_categorical,15,test_statistic,categorical,nest_success,nest_predation,period_survival,,,,Pre-haying,2-days post-haying,bobolink,-1,oranges,0,1,Not usable -- They do not explain what the 25 is ... perhaps this represents the subset of nests that were not abandoned? Does not add up!,delay_hay,Bollinger et al. 1990,species,obligate,TRUE,,,25,63,,,,,,,,,,,chi-square,chi_square,12.1,1,85,,,,
tc_0010,XYR2I4ZX,other_categorical,16,test_statistic,categorical,nest_success,number of nestings reaching 12 days of age,period_survival,identity,,,Traditional plots,Intensive plots,whinchat,1,apples,1,1,"Not usable -- cannot convert rank test to effect size; The text suggests that intensively managed fields have earlier hay dates, but they do not demonstrate this",delay_hay,Britschgi et al. 2006,species,obligate,TRUE,,,9,8,,,,,,,,,,,Mann-Whitney U-test,z,2.14,,17,,,,
tc_0011,XYR2I4ZX,other_categorical,17,test_statistic,categorical,nest_success,partial_brood_loss,period_survival,identity,,,Traditional plots,Intensive plots,whinchat,-1,apples,1,-1,"Could be usable -- The text suggests that intensively managed fields have earlier hay dates, but they do not demonstrate this",delay_hay,Britschgi et al. 2006,species,obligate,TRUE,,,9,8,,,,,,,,,,,chi-square,chi_square,4.898,,17,,,,
tc_0012,MG5988E5,other_categorical,18,test_statistic,categorical,abundance,abundance,,,,,Post-nest box installation in managed forest plots,Pre-nest box installation in managed forest plots,great_tit,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,install_nest_boxes,Camprodon et al. 2008,species,facultative,TRUE,,,,,,,,,,,,,,,chi-square,chi_square,51.7,62,63,,,,
tc_0013,G6VR29X8,other_categorical,19,test_statistic,categorical,abundance,density,,,,,Organic farm,Conventional farm,all_species,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,eliminate_pesticides,Danhardt et al. 2010,aggregate,,TRUE,,,12,12,,,,,,,,,,,GLMM,f,3.48,,24,,,,
tc_0014,XW7F4DWM,other_categorical,20,test_statistic,categorical,occupancy,Fraction of breeding boxes occupied by dominant species,,,,,Post-nest box removal,Pre-nest box removal,great_tit,1,apples,0,1,Usable -- comparison of two groups and thus converts to effect size without issue,install_nest_boxes,Fokkema et al. 2018,species,facultative,TRUE,,,121,1468,,,,,,,,,,,chi-square,chi_square,166.25,120,1589,,,,
