species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
acorn_woodpecker,Open Woodlands,NA,forest; woodland; grasslands; desert,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Temperate Western,NA,NA,NA,NA,NA,facultative,TRUE
alder_flycatcher,NA,NA,woodland; shrub; grasslands,NA,NA,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Tropical Generalist,shrubland,NA,NA,NA,NA,facultative,TRUE
all_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,TRUE
altamira_oriole,Open Woodlands,NA,forest; woodland; shrub; savannah; wetlands_lakes_marsh,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,NA,facultative,TRUE
american_bittern,Marshes,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
american_crow,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,NA,facultative,TRUE
american_golden_plover,Grasslands,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,NA,grassland obligate,obligate,TRUE
american_goldfinch,Open Woodlands,NA,forest; woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
american_kestrel,Grasslands,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
american_pipit,Tundra,NA,NA,NA,NA,Tundra:  Alpine; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
american_robin,Open Woodlands,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,facultative grassland,NA,facultative,TRUE
american_tree_sparrow,Open Woodlands,NA,woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
american_wigeon,Lakes and Ponds,NA,woodland; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
american_woodcock,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal,NA,NA,NA,facultative grassland,NA,facultative,TRUE
annas_hummingbird,Open Woodlands,NA,woodland; shrub; savannah; riparian; coastal,NA,NA,Aridlands:  Chaparral; Forests:  Temperate Western,NA,NA,NA,NA,NA,facultative,TRUE
antillean_nighthawk,NA,NA,forest; shrub; savannah; artificial; coastal,NA,NA,Open Country Aerial:  Habitat Mosaic; Unknown,NA,NA,NA,NA,NA,facultative,TRUE
aplomado_falcon,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Tropical; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
