species,source,classification
aberts_towhee,all_about_birds,Deserts
acadian_flycatcher,all_about_birds,Forests
acorn_woodpecker,all_about_birds,Open Woodlands
alder_flycatcher,peterjohn_2006,shrubland
allens_hummingbird,all_about_birds,Open Woodlands
altamira_oriole,all_about_birds,Open Woodlands
american_avocet,all_about_birds,Marshes
american_bittern,all_about_birds,Marshes
american_bittern,vickery_1999_facultative,facultative grassland
american_black_duck,all_about_birds,Lakes and Ponds
american_coot,all_about_birds,Lakes and Ponds
american_crow,all_about_birds,Open Woodlands
american_crow,vgbi,facultative grassland
american_dipper,all_about_birds,Rivers and Streams
american_golden_plover,all_about_birds,Grasslands
american_golden_plover,vickery_1999_obligate,grassland obligate
american_goldfinch,all_about_birds,Open Woodlands
american_goldfinch,vgbi,facultative grassland
american_kestrel,all_about_birds,Grasslands
american_kestrel,vgbi,facultative grassland
american_kestrel,vickery_1999_facultative,facultative grassland
american_oystercatcher,all_about_birds,Shorelines
american_pipit,all_about_birds,Tundra
american_pipit,vgbi,facultative grassland
american_pipit,vickery_1999_obligate,grassland obligate
american_redstart,all_about_birds,Forests
american_robin,all_about_birds,Open Woodlands
american_robin,vgbi,facultative grassland
american_three_toed_woodpecker,all_about_birds,Forests
american_tree_sparrow,all_about_birds,Open Woodlands
american_tree_sparrow,vgbi,facultative grassland
american_white_pelican,all_about_birds,Lakes and Ponds
american_wigeon,all_about_birds,Lakes and Ponds
american_wigeon,vickery_1999_facultative,facultative grassland
american_woodcock,all_about_birds,Forests
american_woodcock,vgbi,facultative grassland
anhinga,all_about_birds,Marshes
annas_hummingbird,all_about_birds,Open Woodlands
aplomado_falcon,vickery_1999_obligate,grassland obligate
arctic_tern,all_about_birds,Shorelines
arctic_warbler,all_about_birds,Forests
arizona_woodpecker,all_about_birds,Open Woodlands
ash_throated_flycatcher,all_about_birds,Open Woodlands
ash_throated_flycatcher,vickery_1999_facultative,facultative grassland
audubons_oriole,all_about_birds,Open Woodlands
bachmans_sparrow,all_about_birds,Open Woodlands
bachmans_sparrow,vickery_1999_obligate,grassland obligate
bairds_sandpiper,vickery_1999_obligate,grassland obligate
bairds_sparrow,all_about_birds,Grasslands
bairds_sparrow,vickery_1999_obligate,grassland obligate
bald_eagle,all_about_birds,Forests
baltimore_oriole,all_about_birds,Forests
band_tailed_pigeon,all_about_birds,Forests
bank_swallow,all_about_birds,Lakes and Ponds
bar_tailed_godwit,all_about_birds,Tundra
barn_owl,all_about_birds,Grasslands
barn_owl,vgbi,facultative grassland
barn_owl,vickery_1999_facultative,facultative grassland
barn_swallow,all_about_birds,Grasslands
barn_swallow,vgbi,facultative grassland
barred_owl,all_about_birds,Forests
barrows_goldeneye,all_about_birds,Lakes and Ponds
bay_breasted_warbler,all_about_birds,Forests
bells_vireo,all_about_birds,Scrub
belted_kingfisher,all_about_birds,Lakes and Ponds
bendires_thrasher,all_about_birds,Deserts
bendires_thrasher,vickery_1999_facultative,facultative grassland
bewicks_wren,all_about_birds,Open Woodlands
bicknells_thrush,all_about_birds,Forests
black_and_white_warbler,all_about_birds,Forests
black_backed_woodpecker,all_about_birds,Forests
black_bellied_plover,vickery_1999_facultative,facultative grassland
black_bellied_whistling_duck,all_about_birds,Marshes
black_billed_cuckoo,all_about_birds,Forests
black_billed_cuckoo,peterjohn_2006,shrubland
black_billed_cuckoo,vgbi,facultative grassland
black_billed_magpie,all_about_birds,Open Woodlands
black_capped_chickadee,all_about_birds,Forests
black_capped_vireo,all_about_birds,Scrub
black_chinned_hummingbird,all_about_birds,Open Woodlands
black_chinned_sparrow,all_about_birds,Scrub
black_crested_titmouse,all_about_birds,Forests
