species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,traitdata,vgbi,vickery_1999,analysis_class,include
aberts_towhee,Deserts,NA,woodland; shrub; desert; artificial; riparian,NA,NA,Aridlands:  Desert Riparian; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
acadian_flycatcher,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
acadian_flycatcher_indigo_bunting,NA,shrub; forest,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
acorn_woodpecker,Open Woodlands,NA,forest; woodland; grasslands; desert,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Temperate Western,NA,NA,NA,NA,facultative,TRUE
alder_flycatcher,NA,NA,woodland; shrub; grasslands,NA,NA,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Tropical Generalist,shrubland,NA,NA,NA,facultative,TRUE
all_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
allens_hummingbird,Open Woodlands,NA,forest; shrub; artificial; riparian,NA,NA,Aridlands:  Chaparral; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,shrub,FALSE
altamira_oriole,Open Woodlands,NA,forest; woodland; shrub; savannah; wetlands_lakes_marsh,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,facultative,TRUE
american_avocet,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
american_bittern,Marshes,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,facultative,TRUE
american_black_duck,Lakes and Ponds,NA,forest; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Saltmarsh; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
american_coot,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
american_crow,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative grassland,NA,facultative,TRUE
american_dipper,Rivers and Streams,NA,riparian,NA,NA,Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
american_golden_plover,Grasslands,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,grassland obligate,obligate,TRUE
