species,species_group,article_classified,birdbase,birds_of_the_world,eubirds,hand_entered,partners_in_flight,peterjohn_2006,vickery_1999,analysis_class,include
abbotts_babbler,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
abbotts_booby,species,NA,pelagic,NA,NA,NA,NA,NA,NA,other,TRUE
abbotts_starling,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
abd_al_kuri_sparrow,species,NA,shrub; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
abdims_stork,species,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
aberdare_cisticola,species,NA,grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
aberrant_bush_warbler,species,NA,forest; bamboo; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
aberts_towhee,species,NA,woodland; shrub; desert; artificial; riparian,NA,NA,NA,Aridlands:  Desert Riparian; Aridlands:  Desert Scrub,NA,NA,shrub,FALSE
abyssinian_catbird,species,NA,bamboo; woodland; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
abyssinian_citril,species,NA,forest; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,shrub,FALSE
abyssinian_crimsonwing,species,NA,forest; bamboo; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
abyssinian_ground_thrush,species,NA,forest; bamboo; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
abyssinian_longclaw,species,NA,grasslands; rocky_areas; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_owl,species,NA,forest; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_roller,species,NA,shrub; savannah; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_scimitarbill,species,NA,woodland; savannah; grasslands; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_slaty_flycatcher,species,NA,forest; woodland; artificial; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
abyssinian_thrush,species,NA,forest; bamboo; shrub; plains; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_wheatear,species,NA,grasslands; plains; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_white_eye,species,NA,woodland; shrub; savannah; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
abyssinian_woodpecker,species,NA,woodland; savannah; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
acacia_pied_barbet,species,NA,woodland; shrub; desert; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
acadian_flycatcher,species,NA,forest; woodland; artificial,NA,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,woodland,FALSE
acadian_flycatcher_indigo_bunting,species,shrub; forest; facultative,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
aceh_bulbul,species,NA,forest; shrub; grasslands,NA,NA,NA,NA,NA,NA,facultative,TRUE
acorn_woodpecker,species,NA,forest; woodland; grasslands; desert,NA,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Temperate Western,NA,NA,facultative,TRUE
acre_antshrike,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
acre_tody_tyrant,species,NA,forest; bamboo,NA,NA,NA,NA,NA,NA,forest,FALSE
adamawa_turtle_dove,species,NA,forest; woodland; artificial,NA,NA,NA,NA,NA,NA,woodland,FALSE
adelaides_warbler,species,NA,forest; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
adelie_penguin,species,NA,coastal; pelagic,NA,NA,NA,NA,NA,NA,other,TRUE
afep_pigeon,species,NA,forest; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
afghan_babbler,species,NA,shrub; plains; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
afghan_snowfinch,species,NA,grasslands; rocky_areas; artificial,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_barred_owlet,species,NA,forest; woodland; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
african_black_duck,species,NA,woodland; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,woodland,FALSE
african_blue_flycatcher,species,NA,forest; shrub; savannah; artificial; riparian; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_blue_quail,species,NA,forest; grasslands; rocky_areas; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
african_blue_tit,species,NA,forest; woodland; shrub; artificial,NA,NA,NA,NA,NA,NA,shrub,FALSE
