key,paper,bmp,response_class,Treatment,Control,response_var,species,error_class,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes
ECNPR7UT,Adams et al. 2013,Prescribed fire,abundance,2-year post-burn field,Control field,nest density,dickcissel,SE,0.75,5,NA,0.46,NA,NA,0.77,31,NA,0.22,NA,NA,"nest_success was also evaluated, but I do not think in a usable way"
ECNPR7UT,Adams et al. 2013,Prescribed fire,abundance,2-year post-burn field,Control field,nest density,red_winged_blackbird,SE,0.92,5,NA,0.59,NA,NA,1.06,31,NA,0.37,NA,NA,"nest_success was also evaluated, but I do not think in a usable way"
ECNPR7UT,Adams et al. 2013,Prescribed fire,abundance,1-year post-burn field,Control field,nest density,dickcissel,SE,0.27,5,NA,0.27,NA,NA,0.53,31,NA,0.14,NA,NA,"nest_success was also evaluated, but I do not think in a usable way"
ECNPR7UT,Adams et al. 2013,Prescribed fire,abundance,1-year post-burn field,Control field,nest density,red_winged_blackbird,SE,2.39,5,NA,1.84,NA,NA,1.04,31,NA,0.35,NA,NA,"nest_success was also evaluated, but I do not think in a usable way"
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2014,bobolink,standard_error,9.72,5,NA,2.32,NA,NA,0.07,5,NA,0.07,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2015,bobolink,standard_error,3.57,5,NA,2.19,NA,NA,0,5,NA,0,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2016,bobolink,standard_error,6.17,5,NA,4.92,NA,NA,0.15,5,NA,0.15,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2014,grasshopper_sparrow,standard_error,1.61,5,NA,0.68,NA,NA,0.08,5,NA,0.08,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2015,grasshopper_sparrow,standard_error,7.08,5,NA,2.36,NA,NA,0.36,5,NA,0.36,NA,NA,Pretty cool way to test the manage fields in patches idea!
N87HY4T4,Allen et al. 2019,Manage fields in patches,abundance,Refugia post-harvest of neighboring field,Refugia pre-harvest of neighboring field,abundance 2016,grasshopper_sparrow,standard_error,5.3,5,NA,1.57,NA,NA,0.6,5,NA,0.39,NA,NA,Pretty cool way to test the manage fields in patches idea!
