common_name,habitat
black-bellied whistling-duck,Marshes
fulvous whistling-duck,Marshes
greater white-fronted goose,Lakes and Ponds
canada goose,Marshes
mute swan,Lakes and Ponds
trumpeter swan,Lakes and Ponds
tundra swan,Lakes and Ponds
wood duck,Lakes and Ponds
blue-winged teal,Marshes
cinnamon teal,Marshes
northern shoveler,Marshes
gadwall,Marshes
american wigeon,Lakes and Ponds
american black duck,Lakes and Ponds
mottled duck,Marshes
northern pintail,Marshes
green-winged teal,Marshes
canvasback,Lakes and Ponds
redhead,Lakes and Ponds
ring-necked duck,Lakes and Ponds
greater scaup,Lakes and Ponds
lesser scaup,Lakes and Ponds
common eider,Oceans
harlequin duck,Rivers and Streams
surf scoter,Oceans
white-winged scoter,Lakes and Ponds
black scoter,Oceans
long-tailed duck,Lakes and Ponds
bufflehead,Lakes and Ponds
common goldeneye,Lakes and Ponds
barrows goldeneye,Lakes and Ponds
hooded merganser,Lakes and Ponds
common merganser,Lakes and Ponds
red-breasted merganser,Lakes and Ponds
ruddy duck,Marshes
plain chachalaca,Forests
mountain quail,Forests
northern bobwhite,Grasslands
scaled quail,Grasslands
california quail,Scrub
gambels quail,Scrub
montezuma quail,Open Woodlands
chukar,Scrub
gray partridge,Grasslands
ring-necked pheasant,Grasslands
ruffed grouse,Forests
greater sage-grouse,Grasslands
spruce grouse,Forests
willow ptarmigan,Tundra
rock ptarmigan,Tundra
dusky grouse,Forests
sooty grouse,Forests
sharp-tailed grouse,Grasslands
greater prairie-chicken,Grasslands
lesser prairie-chicken,Grasslands
wild turkey,Open Woodlands
least grebe,Lakes and Ponds
pied-billed grebe,Lakes and Ponds
horned grebe,Lakes and Ponds
red-necked grebe,Lakes and Ponds
eared grebe,Lakes and Ponds
rock pigeon,Towns
white-crowned pigeon,Forests
band-tailed pigeon,Forests
eurasian collared-dove,Towns
inca dove,Towns
common ground-dove,Scrub
white-tipped dove,Open Woodlands
white-winged dove,Towns
mourning dove,Open Woodlands
yellow-billed cuckoo,Open Woodlands
mangrove cuckoo,Forests
black-billed cuckoo,Forests
greater roadrunner,Scrub
smooth-billed ani,Scrub
groove-billed ani,Scrub
lesser nighthawk,Deserts
common nighthawk,Grasslands
common pauraque,Forests
common poorwill,Scrub
chuck-wills-widow,Open Woodlands
eastern whip-poor-will,Open Woodlands
black swift,Forests
chimney swift,Towns
vauxs swift,Forests
white-throated swift,Scrub
rivolis hummingbird,Forests
blue-throated hummingbird,Open Woodlands
ruby-throated hummingbird,Open Woodlands
black-chinned hummingbird,Open Woodlands
annas hummingbird,Open Woodlands
costas hummingbird,Deserts
broad-tailed hummingbird,Open Woodlands
rufous hummingbird,Open Woodlands
allens hummingbird,Open Woodlands
calliope hummingbird,Open Woodlands
broad-billed hummingbird,Forests
buff-bellied hummingbird,Open Woodlands
yellow rail,Marshes
black rail,Marshes
clapper rail,Marshes
king rail,Marshes
virginia rail,Marshes
sora,Marshes
purple gallinule,Marshes
common gallinule,Marshes
american coot,Lakes and Ponds
limpkin,Marshes
sandhill crane,Marshes
black-necked stilt,Marshes
american avocet,Marshes
american oystercatcher,Shorelines
black oystercatcher,Shorelines
american golden-plover,Grasslands
pacific golden-plover,Grasslands
snowy plover,Shorelines
wilsons plover,Shorelines
semipalmated plover,Shorelines
killdeer,Grasslands
mountain plover,Grasslands
upland sandpiper,Grasslands
whimbrel,Shorelines
long-billed curlew,Grasslands
bar-tailed godwit,Tundra
marbled godwit,Grasslands
ruddy turnstone,Shorelines
least sandpiper,Marshes
western sandpiper,Shorelines
short-billed dowitcher,Marshes
american woodcock,Forests
wilsons snipe,Marshes
spotted sandpiper,Shorelines
solitary sandpiper,Marshes
wandering tattler,Shorelines
lesser yellowlegs,Marshes
willet,Shorelines
greater yellowlegs,Marshes
wilsons phalarope,Lakes and Ponds
red-necked phalarope,Oceans
parasitic jaeger,Tundra
long-tailed jaeger,Tundra
black guillemot,Oceans
pigeon guillemot,Oceans
marbled murrelet,Oceans
rhinoceros auklet,Oceans
black-legged kittiwake,Oceans
bonapartes gull,Lakes and Ponds
laughing gull,Shorelines
franklins gull,Lakes and Ponds
mew gull,Shorelines
ring-billed gull,Lakes and Ponds
western gull,Oceans
california gull,Lakes and Ponds
herring gull,Shorelines
glaucous-winged gull,Shorelines
glaucous gull,Shorelines
great black-backed gull,Shorelines
least tern,Shorelines
gull-billed tern,Shorelines
caspian tern,Shorelines
black tern,Marshes
