species,primary_habitat,habitat
common_ostrich,Savanna,woodland; savannah; plains; desert
somali_ostrich,Plains,woodland; grasslands; plains
greater_rhea,Savanna,shrub; savannah; artificial; riparian; wetlands_lakes_marsh
lesser_rhea,Plains,shrub; savannah; grasslands; plains; wetlands_lakes_marsh
southern_brown_kiwi,Forest,forest; shrub; grasslands; artificial
north_island_brown_kiwi,Forest,forest; shrub; artificial
okarito_kiwi,Forest,forest
little_spotted_kiwi,Forest,forest; shrub; grasslands
great_spotted_kiwi,Grassland,forest; shrub; grasslands
southern_cassowary,Forest,forest; woodland; riparian
dwarf_cassowary,Forest,forest; shrub
northern_cassowary,Forest,forest
common_emu,Savanna,woodland; shrub; savannah; grasslands; coastal
king_island_emu,Grassland,grasslands; coastal; wetlands_lakes_marsh
kangaroo_island_emu,Woodland,woodland; coastal
grey_tinamou,Forest,forest; riparian
solitary_tinamou,Forest,forest
black_tinamou,Forest,forest
great_tinamou,Forest,forest
white_throated_tinamou,Forest,forest
highland_tinamou,Forest,forest; bamboo
tawny_breasted_tinamou,Forest,forest
hooded_tinamou,Forest,forest; bamboo
berlepschs_tinamou,Forest,forest
cinereous_tinamou,Forest,forest; woodland; shrub; savannah; artificial
little_tinamou,Forest,forest; shrub; savannah; artificial
tepui_tinamou,Forest,forest
brown_tinamou,Forest,forest; shrub
undulated_tinamou,Forest,forest; woodland; shrub; savannah; riparian
pale_browed_tinamou,Forest,forest; shrub
brazilian_tinamou,Forest,forest
grey_legged_tinamou,Forest,forest; woodland
red_legged_tinamou,Shrub,forest; woodland; shrub; grasslands
yellow_legged_tinamou,Forest,forest; woodland; shrub; riparian
black_capped_tinamou,Woodland,forest; woodland; shrub
thicket_tinamou,Forest,forest; woodland; shrub
slaty_breasted_tinamou,Forest,forest; shrub
choco_tinamou,Forest,forest
variegated_tinamou,Forest,forest; shrub
rusty_tinamou,Forest,forest
bartletts_tinamou,Forest,forest; shrub
small_billed_tinamou,Forest,forest; bamboo; shrub; grasslands; artificial; riparian
barred_tinamou,Forest,forest
tataupa_tinamou,Forest,forest; shrub
red_winged_tinamou,Grassland,forest; woodland; grasslands
huayco_tinamou,Shrub,shrub
taczanowskis_tinamou,Woodland,woodland; shrub; grasslands; artificial
ornate_tinamou,Grassland,woodland; shrub; grasslands; artificial
chilean_tinamou,Grassland,shrub; grasslands; artificial
brushland_tinamou,Shrub,woodland; shrub; savannah; plains; artificial
andean_tinamou,Shrub,woodland; shrub; artificial; riparian
curve_billed_tinamou,Grassland,shrub; grasslands; desert
white_bellied_nothura,Shrub,shrub; savannah; grasslands; artificial
lesser_nothura,Grassland,shrub; savannah; grasslands
darwins_nothura,Grassland,shrub; savannah; grasslands; artificial
spotted_nothura,Grassland,woodland; shrub; savannah; grasslands; plains; artificial
dwarf_tinamou,Grassland,forest; shrub; savannah; grasslands; artificial
elegant_crested_tinamou,Shrub,shrub; artificial
quebracho_crested_tinamou,Woodland,woodland; savannah
puna_tinamou,Shrub,shrub; grasslands; plains; desert
patagonian_tinamou,Grassland,shrub; savannah; grasslands; desert
horned_screamer,Wetland,forest; grasslands; riparian; wetlands_lakes_marsh
northern_screamer,Wetland,riparian; wetlands_lakes_marsh
southern_screamer,Wetland,artificial; wetlands_lakes_marsh
magpie_goose,Wetland,grasslands; riparian; coastal; wetlands_lakes_marsh
white_faced_whistling_duck,Wetland,artificial; wetlands_lakes_marsh
black_bellied_whistling_duck,Wetland,artificial; riparian; wetlands_lakes_marsh
