species,source,classification
alder_flycatcher,peterjohn_2006,shrubland
black_billed_cuckoo,peterjohn_2006,shrubland
blue_grosbeak,peterjohn_2006,shrubland
blue_winged_warbler,peterjohn_2006,shrubland
brown_thrasher,peterjohn_2006,shrubland
carolina_wren,peterjohn_2006,shrubland
chestnut_sided_warbler,peterjohn_2006,shrubland
common_yellowthroat,peterjohn_2006,shrubland
eastern_towhee,peterjohn_2006,shrubland
field_sparrow,peterjohn_2006,shrubland
golden_winged_warbler,peterjohn_2006,shrubland
gray_catbird,peterjohn_2006,shrubland
indigo_bunting,peterjohn_2006,shrubland
nashville_warbler,peterjohn_2006,shrubland
northern_bobwhite,peterjohn_2006,shrubland
northern_cardinal,peterjohn_2006,shrubland
northern_mockingbird,peterjohn_2006,shrubland
prairie_warbler,peterjohn_2006,shrubland
song_sparrow,peterjohn_2006,shrubland
white_eyed_vireo,peterjohn_2006,shrubland
willow_flycatcher,peterjohn_2006,shrubland
yellow_billed_cuckoo,peterjohn_2006,shrubland
yellow_breasted_chat,peterjohn_2006,shrubland
yellow_warbler,peterjohn_2006,shrubland
