species,habitat
highland_tinamou,Forests:  Tropical Montane Evergreen
great_tinamou,Forests:  Tropical Lowland Evergreen
little_tinamou,Forests:  Tropical Lowland Evergreen
thicket_tinamou,Forests:  Tropical Dry
slaty_breasted_tinamou,Forests:  Tropical Lowland Evergreen
choco_tinamou,Forests:  Tropical Lowland Evergreen
black_bellied_whistling_duck,Wetlands:  Generalist
fulvous_whistling_duck,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
emperor_goose,Coasts:  Saltmarsh; Coasts:  Marine Waters; Coasts:  Rocky Intertidal
snow_goose,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist
rosss_goose,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist
greater_white_fronted_goose,Wetlands:  Tundra; Wetlands:  Generalist
brant,Coasts:  Saltmarsh; Coasts:  Tundra; Coasts:  Marine Waters; Coasts:  Rocky Intertidal
cackling_goose,Wetlands:  Tundra; Coasts:  Tundra; Wetlands:  Generalist
canada_goose,Wetlands:  Generalist; Coasts:  Saltmarsh
mute_swan,Wetlands:  Generalist
trumpeter_swan,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh; Wetlands:  Generalist
tundra_swan,Wetlands:  Tundra; Wetlands:  Generalist
muscovy_duck,Wetlands:  Generalist
wood_duck,Wetlands:  Forested; Forests:  Temperate Eastern; Wetlands:  Lakes and Rivers
blue_winged_teal,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
cinnamon_teal,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers
northern_shoveler,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist
gadwall,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist
eurasian_wigeon,Wetlands:  Freshwater Marsh; Wetlands:  Generalist
american_wigeon,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist
mallard,Wetlands:  Generalist; Coasts:  Saltmarsh
mexican_duck,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers
american_black_duck,Wetlands:  Boreal; Coasts:  Saltmarsh; Wetlands:  Lakes and Rivers
mottled_duck,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
northern_pintail,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Wetlands:  Generalist
green_winged_teal,Wetlands:  Generalist
canvasback,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
redhead,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
ring_necked_duck,Wetlands:  Boreal; Wetlands:  Lakes and Rivers
greater_scaup,Wetlands:  Tundra; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
lesser_scaup,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters
harlequin_duck,Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary; Coasts:  Marine Waters; Coasts:  Rocky Intertidal
surf_scoter,Wetlands:  Boreal; Coasts:  Marine Waters
white_winged_scoter,Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
black_scoter,Wetlands:  Tundra; Coasts:  Marine Waters
long_tailed_duck,Wetlands:  Tundra; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
bufflehead,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
common_goldeneye,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
barrows_goldeneye,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
white_bellied_chachalaca,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
crested_guan,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
black_guan,Forests:  Tropical Montane Evergreen
highland_guan,Forests:  Tropical Montane Evergreen
horned_guan,Forests:  Tropical Montane Evergreen
great_curassow,Forests:  Tropical Lowland Evergreen
tawny_faced_quail,Forests:  Tropical Lowland Evergreen
mountain_quail,Forests:  Temperate Western; Aridlands:  Chaparral
buffy_crowned_wood_partridge,Forests:  Tropical Montane Evergreen
long_tailed_wood_partridge,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak
bearded_wood_partridge,Forests:  Tropical Montane Evergreen
banded_quail,Forests:  Tropical Dry
northern_bobwhite,Open Country:  Habitat Mosaic; Forests:  Tropical Dry
black_throated_bobwhite,Forests:  Tropical Dry; Grasslands:  Tropical
crested_bobwhite,Open Country:  Habitat Mosaic
scaled_quail,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub
elegant_quail,Forests:  Tropical Dry; Aridlands:  Desert Scrub
california_quail,Aridlands:  Chaparral
gambels_quail,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian
montezuma_quail,Forests:  Mesoamerican Pine-Oak; Grasslands:  Tropical
black_breasted_wood_quail,Forests:  Tropical Montane Evergreen
spotted_wood_quail,Forests:  Tropical Montane Evergreen
wild_turkey,Forests:  Temperate Generalist
ocellated_turkey,Forests:  Tropical Lowland Evergreen
ruffed_grouse,Forests:  Temperate Generalist
spruce_grouse,Forests:  Boreal
willow_ptarmigan,Tundra:  Arctic
rock_ptarmigan,Tundra:  Alpine; Tundra:  Arctic
white_tailed_ptarmigan,Tundra:  Alpine
greater_sage_grouse,Aridlands:  Sagebrush
gunnison_sage_grouse,Aridlands:  Sagebrush
dusky_grouse,Forests:  Temperate Western
sooty_grouse,Forests:  Temperate Western
sharp_tailed_grouse,Grasslands:  Temperate; Forests:  Boreal
greater_prairie_chicken,Grasslands:  Temperate
lesser_prairie_chicken,Grasslands:  Temperate
gray_partridge,Open Country:  Developed/Disturbed
ring_necked_pheasant,Grasslands:  Temperate
