species,source,classification
american_crow,vgbi,facultative grassland
american_goldfinch,vgbi,facultative grassland
american_kestrel,vgbi,facultative grassland
american_pipit,vgbi,facultative grassland
american_robin,vgbi,facultative grassland
american_tree_sparrow,vgbi,facultative grassland
american_woodcock,vgbi,facultative grassland
barn_owl,vgbi,facultative grassland
barn_swallow,vgbi,facultative grassland
black_billed_cuckoo,vgbi,facultative grassland
blue_grosbeak,vgbi,facultative grassland
brown_headed_cowbird,vgbi,facultative grassland
brown_thrasher,vgbi,facultative grassland
canada_goose,vgbi,facultative grassland
chimney_swift,vgbi,facultative grassland
chipping_sparrow,vgbi,facultative grassland
common_nighthawk,vgbi,facultative grassland
common_yellowthroat,vgbi,facultative grassland
coopers_hawk,vgbi,facultative grassland
dark_eyed_junco,vgbi,facultative grassland
downy_woodpecker,vgbi,facultative grassland
eastern_bluebird,vgbi,facultative grassland
eastern_kingbird,vgbi,facultative grassland
eastern_phoebe,vgbi,facultative grassland
eastern_towhee,vgbi,facultative grassland
field_sparrow,vgbi,facultative grassland
fox_sparrow,vgbi,facultative grassland
house_finch,vgbi,facultative grassland
indigo_bunting,vgbi,facultative grassland
killdeer,vgbi,facultative grassland
lapland_longspur,vgbi,facultative grassland
loggerhead_shrike,vgbi,facultative grassland
mourning_dove,vgbi,facultative grassland
northern_bobwhite,vgbi,facultative grassland
northern_cardinal,vgbi,facultative grassland
northern_flicker,vgbi,facultative grassland
northern_mockingbird,vgbi,facultative grassland
orchard_oriole,vgbi,facultative grassland
prairie_warbler,vgbi,facultative grassland
purple_martin,vgbi,facultative grassland
red_shouldered_hawk,vgbi,facultative grassland
red_tailed_hawk,vgbi,facultative grassland
red_winged_blackbird,vgbi,facultative grassland
ruby_throated_hummingbird,vgbi,facultative grassland
short_eared_owl,vgbi,facultative grassland
song_sparrow,vgbi,facultative grassland
tree_swallow,vgbi,facultative grassland
white_crowned_sparrow,vgbi,facultative grassland
white_throated_sparrow,vgbi,facultative grassland
wild_turkey,vgbi,facultative grassland
yellow_billed_cuckoo,vgbi,facultative grassland
yellow_breasted_chat,vgbi,facultative grassland
