species,classification
northern_harrier,obligate; facultative
swainsons_hawk,obligate; obligate
ferruginous_hawk,obligate
rough_legged_hawk,obligate
aplomado_falcon,obligate; obligate
rock_ptarmigan,obligate
white_tailed_ptarmigan,obligate
sharp_tailed_grouse,obligate
greater_prairie_chicken,obligate
lesser_prairie_chicken,obligate
montezuma_quail,obligate
ocellated_quail,obligate
double_striped_thick_knee,obligate; obligate
american_golden_plover,obligate
pacific_golden_plover,obligate
mountain_plover,obligate
upland_sandpiper,obligate; obligate
eskimo_curlew,obligate; obligate
bristle_thighed_curlew,obligate
long_billed_curlew,obligate
marbled_godwit,obligate
barids_sandpiper,obligate
buff_breasted_sandpiper,obligate; obligate
pomarine_jaeger,obligate
parasitic_jaeger,obligate
long_tailed_jaeger,obligate
snowy_owl,obligate
burrowing_owl,obligate; obligate
long_eared_owl,obligate
short_eared_owl,obligate; obligate
horned_lark,obligate; obligate
sedge_wren,obligate; obligate
american_pipit,obligate
spragues_pipit,obligate
ruddy_breasted_seedeater,obligate; obligate
saffron_finch,obligate
grassland_yellow_finch,obligate; obligate
cassins_sparrow,obligate
bachmans_sparrow,obligate
botteris_sparrow,obligate
striped_sparrow,obligate
vesper_sparrow,obligate
lark_bunting,obligate
savannah_sparrow,obligate
grasshopper_sparrow,obligate; obligate
bairds_sparrow,obligate
henslows_sparrow,obligate
le_contes_sparrow,obligate
sierra_madre_sparrow,obligate
mccowns_longspur,obligate
lapland_longspur,obligate
smiths_longspur,obligate
chestnut_collared_longspur,obligate
snow_bunting,obligate
mckays_bunting,obligate
dickcissel,obligate; obligate
bobolink,obligate; obligate
eastern_meadowlark,obligate; obligate
western_meadowlark,obligate
american_bittern,facultative
cattle_egret,facultative; facultative
jabiru,facultative; facultative
turkey_vulture,facultative; facultative
lesser_yellow_headed_vulture,facultative; facultative
greater_white_fronted_goose,facultative
emperor_goose,facultative
snow_goose,facultative
rosss_goose,facultative
canada_goose,facultative
brant,facultative
gadwall,facultative
american_wigeon,facultative
mallard,facultative
blue_winged_teal,facultative
northern_shoveler,facultative
northern_pintail,facultative
green_winged_teal,facultative
crested_caracara,facultative; facultative
american_kestrel,facultative
merlin,facultative
gyrfalcon,facultative
peregrine_falcon,facultative
prairie_falcon,facultative
gray_partridge,facultative
ring_necked_pheasant,facultative
willow_ptarmigan,facultative
scaled_quail,facultative
elegant_quail,facultative
northern_bobwhite,facultative
black_throated_bobwhite,facultative
crested_bobwhite,facultative
yellow_rail,facultative
sandhill_crane,facultative
whooping_crane,facultative
black_bellied_plover,facultative
killdeer,facultative
lesser_yellowlegs,facultative
willet,facultative
whimbrel,facultative
hudsonian_godwit,facultative; facultative
surfbird,facultative
red_knot,facultative
sanderling,facultative
semipalmated_sandpiper,facultative
western_sandpiper,facultative
least_sandpiper,facultative
white_rumped_sandpiper,facultative
pectoral_sandpiper,facultative
purple_sandpiper,facultative
rock_sandpiper,facultative
dunlin,facultative
short_billed_dowitcher,facultative
long_billed_dowitcher,facultative
common_snipe,facultative
wilsons_phalarope,facultative
franklins_gull,facultative
mourning_dove,facultative
common_ground_dove,facultative; facultative
barn_owl,facultative; facultative
striped_owl,facultative; facultative
lesser_nighthawk,facultative; obligate
common_nighthawk,facultative
common_poorwill,facultative
says_phoebe,facultative
ash_throated_flycatcher,facultative
cassins_kingbird,facultative
western_kingbird,facultative
eastern_kingbird,facultative
scissor_tailed_flycatcher,facultative
fork_tailed_flycatcher,facultative; obligate
loggerhead_shrike,facultative
northern_shrike,facultative
chihuahuan_raven,facultative
eastern_bluebird,facultative
western_bluebird,facultative
mountain_bluebird,facultative
bendires_thrasher,facultative
common_yellowthroat,facultative
blue_black_grassquit,facultative; facultative
yellow_bellied_seedeater,facultative; facultative
yellow_faced_grassquit,facultative; facultative
canyon_towhee,facultative
rufous_winged_sparrow,facultative
rufous_crowned_sparrow,facultative
oaxaca_sparrow,facultative
clay_colored_sparrow,facultative
worthens_sparrow,facultative
lark_sparrow,facultative
red_winged_blackbird,facultative; facultative
brewers_blackbird,facultative
shiny_cowbird,facultative; facultative
bronzed_cowbird,facultative; facultative
brown_headed_cowbird,facultative
gray_crowned_rosy_finch,facultative
black_rosy_finch,facultative
brown_capped_rosy_finch,facultative
lesser_rhea,obligate
red_winged_tinamou,obligate
huayco_tinamou,obligate
darwins_nothura,obligate
spotted_nothura,obligate
lesser_nothura,obligate
dwarf_tinamou,obligate
andean_goose,obligate
