es_id,key,paper,source_sheet,bmp,treatment,control,response_var,species,species_key,species_group,analysis_class,response_metric,response_scale,survival_scale,link,baseline_survival,beta_is_derived,notes,species_include,treatment_control_flag,response_flag,sign,conversion,effect_metric,xbar_e,xbar_c,yi,sei,n_total,label_type,guild,fire_excluded_original,non_grassland_class,in_primary_pool,excluded_by
bc_0094,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),blue_winged_warbler,blue_winged_warbler,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,regression coefficient,hedges_g,0.37,,-0,0,3,species,,FALSE,TRUE,FALSE,conversion
bc_0095,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),eastern_towhee,eastern_towhee,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,regression coefficient,hedges_g,0.05,,-0,0,3,species,,FALSE,TRUE,FALSE,conversion
bc_0096,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),field_sparrow,field_sparrow,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,regression coefficient,hedges_g,0.2,,0,0,3,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
bc_0097,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),indigo_bunting,indigo_bunting,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,regression coefficient,hedges_g,0.94,,0,0,3,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
bc_0098,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),northern_cardinal,northern_cardinal,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,regression coefficient,hedges_g,0.32,,0,0,3,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
bc_0099,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),prairie_warbler,prairie_warbler,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,regression coefficient,hedges_g,0.92,,-0,0,3,species,,FALSE,TRUE,FALSE,conversion
bc_0100,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),white_eyed_vireo,white_eyed_vireo,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,regression coefficient,hedges_g,0.42,,-0,0,3,species,,FALSE,TRUE,FALSE,conversion
bc_0101,IQWJQUTF,Fink et al. 2006,beta_categorical,edge_and_shrub_habitat,Edge habitat,Glade habitat,density (territories/ha),yellow_breasted_chat,yellow_breasted_chat,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,regression coefficient,hedges_g,0.53,,-0,0,3,species,,FALSE,TRUE,FALSE,conversion
md_0755,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned CRP field,Unburned CRP field,density (birds/ha) - 2004,henslows_sparrow,henslows_sparrow,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,8,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0756,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned CRP field,Unburned CRP field,density (birds/ha) - 2004,common_nighthawk,common_nighthawk,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,8,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0758,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned CRP field,Unburned CRP field,density (birds/ha) - 2004,upland_sandpiper,upland_sandpiper,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,8,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0767,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned CRP field,Unburned CRP field,density (birds/ha) - 2005,upland_sandpiper,upland_sandpiper,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,8,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0775,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned native hayfield,Unburned hayfield,density (birds/ha) - 2004,common_nighthawk,common_nighthawk,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,10,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0777,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned native hayfield,Unburned hayfield,density (birds/ha) - 2004,upland_sandpiper,upland_sandpiper,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,10,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0787,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned native hayfield,Unburned hayfield,density (birds/ha) - 2005,lark_sparrow,lark_sparrow,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,10,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0803,86IBQ28G,Rahmig et al. 2009,mean_diff,prescribed_fire,Burned season-long grazed pasture,Unburned season-long grazed pasture,density (birds/ha) - 2005,mourning_dove,mourning_dove,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,12,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0822,86IBQ28G,Rahmig et al. 2009,mean_diff,grazing_intensity,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),density (birds/ha) - 2005,mourning_dove,mourning_dove,species,facultative,abundance,count,,,,,,TRUE,apples,0,-1,two group means,hedges_g,0,0,,,12,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0410,9HH6YMIM,Henningsen and Best 2005,mean_diff,plant_nwsg,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha) - 2001,eastern_meadowlark,eastern_meadowlark,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,13,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0465,9HH6YMIM,Henningsen and Best 2005,mean_diff,plant_nwsg,WSG wooded riparian filter strips,CSG wooded riparian filter strips,nest density (nests/100 ha),dickcissel,dickcissel,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,9,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0117,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,montezuma_quail,montezuma_quail,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0127,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,spotted_towhee,spotted_towhee,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,two group means,hedges_g,0,0,,,14,species,,FALSE,TRUE,FALSE,conversion
md_0136,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,brewers_sparrow,brewers_sparrow,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0140,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,lark_sparrow,lark_sparrow,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0142,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,lark_bunting,lark_bunting,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0148,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 96-97,chestnut_collared_longspur,chestnut_collared_longspur,species,obligate,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,obligate_grassland,FALSE,FALSE,TRUE,conversion
md_0153,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,house_finch,house_finch,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0179,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,verdin,verdin,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,two group means,hedges_g,0,0,,,14,species,,FALSE,TRUE,FALSE,conversion
md_0189,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,eastern_bluebird,eastern_bluebird,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0193,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,mountain_bluebird,mountain_bluebird,species,facultative,abundance,count,,,,,,TRUE,apples,0,1,two group means,hedges_g,0,0,,,14,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0199,IF3VCNWP,Bock and Bock 1999,mean_diff,provide_overwintering_habitat,Ungrazed,Grazed,abundance - 97-98,cedar_waxwing,cedar_waxwing,species,shrub,abundance,count,,,,,,FALSE,apples,0,1,two group means,hedges_g,0,0,,,14,species,,FALSE,TRUE,FALSE,conversion
md_0248,ILUKKWJA,Conover et al. 2009,mean_diff,stream_exclusion_and_buffers,no field margin,wide-bordered field margin,density (birds/0.2 ha),brown_headed_cowbird,brown_headed_cowbird,species,facultative,abundance,count,,,,,Sample size is actually lower than this. They included year in their sample size.,TRUE,apples,0,-1,two group means,hedges_g,0,0,,,60,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0260,ILUKKWJA,Conover et al. 2009,mean_diff,stream_exclusion_and_buffers,no field margin,wide-bordered field margin,density (birds/0.2 ha),northern_mockingbird,northern_mockingbird,species,facultative,abundance,count,,,,,Sample size is actually lower than this. They included year in their sample size.,TRUE,apples,0,-1,two group means,hedges_g,0,0,,,60,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
md_0263,ILUKKWJA,Conover et al. 2009,mean_diff,stream_exclusion_and_buffers,no field margin,wide-bordered field margin,density (birds/0.2 ha),red_tailed_hawk,red_tailed_hawk,species,facultative,abundance,count,,,,,Sample size is actually lower than this. They included year in their sample size.,TRUE,apples,0,-1,two group means,hedges_g,0,0,,,60,species,facultative_grassland,FALSE,FALSE,TRUE,conversion
