es_id,key,paper,bmp,response_var,survival_scale,sign,xbar_e,xbar_c,effect_metric,yi,sei,excluded_by
md_0202,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,29,30,log_hazard_ratio,-0.0277689207517453,0.3342917462648712,
md_0203,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,43,39,log_hazard_ratio,0.10947259319241888,0.35627337521387714,
md_0204,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,34,9,log_hazard_ratio,0.8029156715134858,0.511746776664761,
md_0205,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,30,30,log_hazard_ratio,-0,0.29947115603517444,
md_0206,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,41,39,log_hazard_ratio,0.05457413328592291,0.35551882676283747,
md_0207,5N6IA9AX,Brand and Noon 2011,remove_non_native_shrubs,percent nest survival,period_survival,1,12,9,log_hazard_ratio,0.12723354893583438,0.4012311090275509,
md_0220,DY9N6UPD,Churchwell et al. 2008,manage_in_patches,dsr,daily_survival,1,0.914,0.926,log_hazard_ratio,-0.15671338863278228,0.2791214081560895,paper_count
md_0221,DY9N6UPD,Churchwell et al. 2008,manage_in_patches,dsr,daily_survival,1,0.937,0.926,log_hazard_ratio,0.16676504942064785,0.1988123195356405,paper_count
md_0222,DY9N6UPD,Churchwell et al. 2008,manage_in_patches,dsr,daily_survival,1,0.945,0.926,log_hazard_ratio,0.3067743258728983,0.18714143747788609,paper_count
md_0310,LNNCH8TG,Davis 2018,plant_nwsg,eggs per nest,period_survival,1,4.5,4.7,log_hazard_ratio,-0.01412175663960568,9.988612164230255e-4,response_flag
md_0311,LNNCH8TG,Davis 2018,plant_nwsg,fledglings per nest,period_survival,1,1.2,0.9,log_hazard_ratio,-3.7371513020529994,0.21092445073423813,response_flag
md_0321,SQ8ICKWV,Davis et al. 2016,plant_nwsg,number of young fledged per nest,period_survival,1,1.3,0.6,log_hazard_ratio,-2.1402476569927265,0.6534992930950938,response_flag
md_0322,SQ8ICKWV,Davis et al. 2016,plant_nwsg,number of young fledged per nest,period_survival,1,1.3,1,log_hazard_ratio,,,response_flag
md_0337,IAAZA5MM,Denny et al. 2021,delay_hay,dsr,daily_survival,1,0.96,0.929,log_hazard_ratio,0.590056147599046,0.24048468707577456,duplicate_expression
