bmp,region,n_papers,n_records
delay_hay,northeast_us,2,4
delay_hay,europe,2,3
edge_and_shrub_habitat,other,11,104
edge_and_shrub_habitat,southeast_us,10,35
edge_and_shrub_habitat,great_plains,2,6
edge_and_shrub_habitat,northeast_us,2,3
edge_and_shrub_habitat,europe,1,2
eliminate_pesticides,europe,7,31
eliminate_pesticides,great_plains,2,10
eliminate_pesticides,other,2,31
eliminate_pesticides,multiple,1,25
install_nest_boxes,other,1,3
install_nest_boxes,southeast_us,1,6
install_nest_boxes,europe,1,2
manage_in_patches,great_plains,3,11
manage_in_patches,other,2,18
plant_nwsg,great_plains,11,60
plant_nwsg,other,8,87
plant_nwsg,southeast_us,4,13
plant_nwsg,multiple,1,6
prescribed_fire,great_plains,10,215
prescribed_fire,other,9,72
prescribed_fire,southeast_us,2,14
prescribed_fire,multiple,1,4
provide_overwintering_habitat,southeast_us,6,25
provide_overwintering_habitat,other,4,69
provide_overwintering_habitat,great_plains,1,12
reduce_grazing_intensity,great_plains,2,21
reduce_grazing_intensity,other,1,1
reduce_grazing_intensity,europe,1,1
reduce_grazing_intensity,southeast_us,1,4
remove_non_native_shrubs,other,4,37
remove_non_native_shrubs,great_plains,1,31
rotational_grazing,great_plains,5,35
rotational_grazing,south_america,2,2
rotational_grazing,other,1,6
rotational_grazing,northeast_us,1,5
rotational_grazing,southeast_us,1,2
stream_exclusion_and_buffers,other,3,28
stream_exclusion_and_buffers,southeast_us,2,48
