study_key,geography,geography_type,continent
N87HY4T4,new_jersey,state,americas
3NTX2A2K,iowa,state,americas
U3SWA47K,iowa,state,americas
RZ8PLSVX,iowa,state,americas
RZ8PLSVX,illinois,state,americas
55UE5VCT,maryland,state,americas
7SS4IEI5,maryland,state,americas
IF3VCNWP,arizona,state,americas
JGT3P9TP,new_york,state,americas
VEK3WELY,wisconsin,state,americas
2WJYSYDE,new_york,state,americas
4G526MHA,iowa,state,americas
4G526MHA,missouri,state,americas
LRBMJG8I,illinois,state,americas
LRBMJG8I,indiana,state,americas
IAAZA5MM,vermont,state,americas
YD99BG64,iowa,state,americas
YD99BG64,missouri,state,americas
CXWJRPTX,wisconsin,state,americas
V8UPXK6I,pennsylvania,state,americas
VAP55SP2,iowa,state,americas
JQQJHBMK,ontario,province,americas
JQQJHBMK,canada,country,americas
LU5JZP88,pennsylvania,state,americas
5LF5W5A9,illinois,state,americas
3J65GCSW,british_columbia,province,americas
3J65GCSW,canada,country,americas
9HH6YMIM,iowa,state,americas
KSACJCJN,iowa,state,americas
4HKVZM4T,missouri,state,americas
XDNK38QY,california,state,americas
WGSP9SQJ,washington,state,americas
WGSP9SQJ,british_columbia,province,americas
7DEL2BXP,ohio,state,americas
J6MAVCRC,australia,country,oceania
IWGJXSTQ,south_africa,country,africa
BQ6ZPH37,illinois,state,americas
JY7UF4YC,vermont,state,americas
IXNBX5LG,vermont,state,americas
IXNBX5LG,new_york,state,americas
LIZQ6R64,wisconsin,state,americas
LUTCPDZB,ohio,state,americas
6Q5B6N44,washington,state,americas
D7FXG82E,ohio,state,americas
QIGRJQ54,australia,country,oceania
NMR6JN8N,illinois,state,americas
5H9BFCB2,missouri,state,americas
DTKILVPL,missouri,state,americas
TY9UGHCS,michigan,state,americas
IWRX5UBB,iowa,state,americas
PH3S49AI,illinois,state,americas
