response_metric,model_family,specification,n_cells,n_new_cells,n_conclusions_changed,median_absolute_shift
abundance,abundance_guild_bmp,one_effect_per_study_cell,17,0,5,0.1433332405711758
abundance,abundance_guild_bmp,great_plains_only,6,0,4,0.0929285727031107
abundance,abundance_guild_bmp,great_plains_dropped,12,0,2,0.07233262029300942
abundance,abundance_guild_bmp,southeast_us_dropped,14,0,2,0.03873016210456713
abundance,abundance_guild_bmp,tighter_priors,17,0,2,0.027044323636801877
abundance,abundance_guild_bmp,most_influential_study_removed,4,0,1,0.17246146903040283
abundance,abundance_guild_bmp,outliers_removed,15,0,1,0.06930483024477707
abundance,abundance_guild_bmp,group_means_only,14,0,1,0.011762858410629823
abundance,abundance_guild_bmp,europe_dropped,16,0,0,0.006997362110290006
abundance,abundance_guild_bmp,paper_floor_four,12,0,0,0.027177176604968545
abundance,abundance_guild_bmp,wider_priors,17,0,0,0.006882181500425272
abundance,abundance_guild_bmp,flagged_effects_removed,17,0,0,0.0016754861780603723
abundance,abundance_guild_bmp,non_grassland_classes_retained,17,0,0,0
abundance,abundance_guild_bmp,paper_floor_two,17,0,0,0
abundance,abundance_guild_bmp,guild_assigned_only,17,0,0,0
abundance,abundance_pooled_bmp,outliers_removed,11,0,4,0.04676605609551816
abundance,abundance_pooled_bmp,southeast_us_dropped,9,0,2,0.0322555268067139
abundance,abundance_pooled_bmp,non_grassland_classes_retained,11,0,2,0.031720858100536084
abundance,abundance_pooled_bmp,most_influential_study_removed,2,0,1,0.28636093034118265
abundance,abundance_pooled_bmp,great_plains_only,3,0,1,0.049221023842058925
abundance,abundance_pooled_bmp,great_plains_dropped,9,0,1,0.06750097233331401
abundance,abundance_pooled_bmp,group_means_only,10,0,1,0.02823013060499609
abundance,abundance_pooled_bmp,guild_assigned_only,10,0,1,0.01257590048954206
abundance,abundance_pooled_bmp,tighter_priors,11,0,1,0.01696455186755319
abundance,abundance_pooled_bmp,one_effect_per_study_cell,11,0,1,0.08110077208814381
abundance,abundance_pooled_bmp,paper_floor_four,10,0,1,0.008926797069192263
abundance,abundance_pooled_bmp,flagged_effects_removed,11,0,1,0.0014643523168526573
abundance,abundance_pooled_bmp,wider_priors,11,0,0,0.00859472909614123
abundance,abundance_pooled_bmp,europe_dropped,10,0,0,0.007837465173953426
abundance,abundance_pooled_bmp,paper_floor_two,11,0,0,0
nest_success,nest_success_guild_bmp,outliers_removed,4,0,2,0.1675575993747404
nest_success,nest_success_guild_bmp,most_influential_study_removed,1,0,0,0.22299848630366048
nest_success,nest_success_guild_bmp,southeast_us_dropped,3,0,0,0.0808595447709326
nest_success,nest_success_guild_bmp,one_effect_per_study_cell,4,0,0,0.08163422542225533
nest_success,nest_success_guild_bmp,tighter_priors,4,0,0,0.05364401765452262
nest_success,nest_success_guild_bmp,group_means_only,4,0,0,0.010876137244917719
nest_success,nest_success_guild_bmp,paper_floor_four,3,0,0,0.08086213487981309
nest_success,nest_success_guild_bmp,great_plains_dropped,3,0,0,0.03589556578988928
nest_success,nest_success_guild_bmp,wider_priors,4,0,0,0.014377668886096068
nest_success,nest_success_guild_bmp,europe_dropped,3,0,0,0.01079460896544196
nest_success,nest_success_guild_bmp,non_grassland_classes_retained,4,0,0,0
nest_success,nest_success_guild_bmp,flagged_effects_removed,4,0,0,0
nest_success,nest_success_guild_bmp,paper_floor_two,4,0,0,0
nest_success,nest_success_guild_bmp,guild_assigned_only,4,0,0,0
species_richness,richness_bmp,most_influential_study_removed,1,0,1,0.4366500416649254
species_richness,richness_bmp,europe_dropped,7,0,1,0.010520505867852137
species_richness,richness_bmp,tighter_priors,7,0,1,0.11171221463128517
species_richness,richness_bmp,group_means_only,7,0,1,0.005256016163064703
species_richness,richness_bmp,southeast_us_dropped,7,0,1,0.0226033647505115
species_richness,richness_bmp,outliers_removed,7,0,0,0.12234492766701699
species_richness,richness_bmp,great_plains_dropped,7,0,0,0.15610778809980996
species_richness,richness_bmp,flagged_effects_removed,7,0,0,0.1352857858310717
species_richness,richness_bmp,wider_priors,7,0,0,0.05258431152552684
species_richness,richness_bmp,one_effect_per_study_cell,7,0,0,0.012647721743102636
species_richness,richness_bmp,non_grassland_classes_retained,7,0,0,0.005498589344784921
species_richness,richness_bmp,paper_floor_two,7,0,0,0
species_richness,richness_bmp,paper_floor_four,7,0,0,0
species_richness,richness_bmp,guild_assigned_only,7,0,0,0
