response_metric,model_family,guild,bmp,k,n_outliers,n_untestable,percent_removed
nest_success,nest_success_guild_bmp,facultative_grassland,edge_and_shrub_habitat,8,2,0,25
species_richness,richness_bmp,,eliminate_pesticides,14,3,0,21.428571428571427
abundance,abundance_guild_bmp,facultative_grassland,rotational_grazing,10,2,0,20
abundance,abundance_guild_bmp,obligate_grassland,stream_exclusion_and_buffers,12,2,0,16.666666666666664
nest_success,nest_success_guild_bmp,obligate_grassland,edge_and_shrub_habitat,6,1,0,16.666666666666664
species_richness,richness_bmp,,stream_exclusion_and_buffers,12,2,0,16.666666666666664
abundance,abundance_guild_bmp,obligate_grassland,plant_nwsg,69,11,0,15.942028985507244
species_richness,richness_bmp,,plant_nwsg,13,2,0,15.384615384615385
abundance,abundance_guild_bmp,obligate_grassland,edge_and_shrub_habitat,33,5,0,15.151515151515152
abundance,abundance_guild_bmp,obligate_grassland,reduce_grazing_intensity,14,2,0,14.285714285714285
nest_success,nest_success_guild_bmp,obligate_grassland,delay_hay,7,1,0,14.285714285714285
abundance,abundance_pooled_bmp,all_grassland,plant_nwsg,133,19,0,14.285714285714285
abundance,abundance_guild_bmp,facultative_grassland,plant_nwsg,64,9,0,14.0625
abundance,abundance_guild_bmp,facultative_grassland,edge_and_shrub_habitat,66,9,0,13.636363636363635
abundance,abundance_guild_bmp,obligate_grassland,manage_in_patches,23,3,0,13.043478260869565
nest_success,nest_success_guild_bmp,obligate_grassland,plant_nwsg,16,2,0,12.5
abundance,abundance_guild_bmp,obligate_grassland,rotational_grazing,25,3,0,12
abundance,abundance_pooled_bmp,all_grassland,reduce_grazing_intensity,26,3,0,11.538461538461538
abundance,abundance_pooled_bmp,all_grassland,rotational_grazing,35,4,0,11.428571428571429
species_richness,richness_bmp,,edge_and_shrub_habitat,18,2,0,11.11111111111111
abundance,abundance_pooled_bmp,all_grassland,manage_in_patches,28,3,0,10.714285714285714
abundance,abundance_pooled_bmp,all_grassland,edge_and_shrub_habitat,103,11,0,10.679611650485436
abundance,abundance_pooled_bmp,all_grassland,install_nest_boxes,10,1,0,10
species_richness,richness_bmp,,rotational_grazing,11,1,0,9.090909090909092
abundance,abundance_pooled_bmp,all_grassland,remove_non_native_shrubs,67,6,0,8.955223880597014
abundance,abundance_guild_bmp,obligate_grassland,prescribed_fire,169,15,0,8.875739644970414
species_richness,richness_bmp,,prescribed_fire,23,2,0,8.695652173913043
abundance,abundance_guild_bmp,facultative_grassland,provide_overwintering_habitat,48,4,0,8.333333333333332
abundance,abundance_guild_bmp,facultative_grassland,reduce_grazing_intensity,12,1,0,8.333333333333332
abundance,abundance_guild_bmp,obligate_grassland,eliminate_pesticides,25,2,0,8
species_richness,richness_bmp,,provide_overwintering_habitat,26,2,0,7.6923076923076925
abundance,abundance_pooled_bmp,all_grassland,stream_exclusion_and_buffers,52,4,0,7.6923076923076925
abundance,abundance_pooled_bmp,all_grassland,prescribed_fire,267,19,0,7.116104868913857
abundance,abundance_guild_bmp,facultative_grassland,remove_non_native_shrubs,60,4,0,6.666666666666667
abundance,abundance_guild_bmp,facultative_grassland,prescribed_fire,97,6,0,6.185567010309279
abundance,abundance_guild_bmp,obligate_grassland,provide_overwintering_habitat,18,1,0,5.555555555555555
abundance,abundance_pooled_bmp,all_grassland,eliminate_pesticides,72,4,0,5.555555555555555
abundance,abundance_pooled_bmp,all_grassland,provide_overwintering_habitat,73,4,0,5.47945205479452
abundance,abundance_guild_bmp,facultative_grassland,eliminate_pesticides,42,1,0,2.380952380952381
