response_metric,guild,bmp,estimate,lcl,ucl,prob_positive,excludes_zero,k,n_studies,meets_primary_threshold
abundance,facultative_grassland,plant_nwsg,0.37755401014699946,0.11841408363912552,0.6464889345514891,0.9980833333333333,TRUE,64,10,TRUE
abundance,facultative_grassland,edge_and_shrub_habitat,0.10658547516354414,-0.1584313392333868,0.3673801552665986,0.7837083333333333,FALSE,66,10,TRUE
abundance,facultative_grassland,reduce_grazing_intensity,0.08679575581665776,-0.4036301248012643,0.5782397765709049,0.638125,FALSE,12,3,TRUE
abundance,facultative_grassland,rotational_grazing,0.0853278044388131,-0.45779907410829374,0.639241400953678,0.6185833333333334,FALSE,10,3,TRUE
abundance,facultative_grassland,provide_overwintering_habitat,0.01107176285838412,-0.31110313702518055,0.32988164864307695,0.527,FALSE,48,5,TRUE
abundance,facultative_grassland,remove_non_native_shrubs,-0.026686247978411924,-0.3502068130472249,0.30175948246668777,0.43633333333333335,FALSE,60,4,TRUE
abundance,facultative_grassland,eliminate_pesticides,-0.028204101437256032,-0.43068364614838267,0.36055354528718075,0.44254166666666667,FALSE,42,4,TRUE
abundance,facultative_grassland,prescribed_fire,-0.38276572384377666,-0.6494441381844046,-0.11897926286292401,0.002125,TRUE,97,11,TRUE
abundance,obligate_grassland,provide_overwintering_habitat,0.4529168688949517,0.027465960515614035,0.8818116110445566,0.9817083333333333,TRUE,18,3,TRUE
abundance,obligate_grassland,reduce_grazing_intensity,0.4462089539470021,-8.445873760321704e-4,0.8847070413550822,0.9747916666666666,FALSE,14,3,TRUE
abundance,obligate_grassland,manage_in_patches,0.3153060531986798,-0.0661512198003749,0.6966665212455122,0.9487083333333334,FALSE,23,5,TRUE
abundance,obligate_grassland,eliminate_pesticides,0.30787891562693726,-0.10382727481941689,0.7090657502490054,0.9312916666666666,FALSE,25,6,TRUE
abundance,obligate_grassland,prescribed_fire,0.2758485962985455,0.04099091171644134,0.5142376510185901,0.989375,TRUE,169,18,TRUE
abundance,obligate_grassland,plant_nwsg,0.1600274918658518,-0.08998541947971486,0.4197330623259189,0.8930833333333333,FALSE,69,17,TRUE
abundance,obligate_grassland,stream_exclusion_and_buffers,0.1380494881532145,-0.2806970000067039,0.548210223950107,0.744,FALSE,12,3,TRUE
abundance,obligate_grassland,rotational_grazing,0.09093464759348871,-0.3086829698353637,0.5134822971634664,0.6694166666666667,FALSE,25,5,TRUE
abundance,obligate_grassland,edge_and_shrub_habitat,-0.11547503408705537,-0.4015793118283021,0.17656286813360783,0.218875,FALSE,33,9,TRUE
nest_success,facultative_grassland,edge_and_shrub_habitat,0.3727625950613508,-0.26696876502356237,0.912468130277348,0.8897083333333333,FALSE,8,3,TRUE
nest_success,obligate_grassland,delay_hay,0.977133309485922,0.4448284359007521,1.4983541418126294,0.9996666666666667,TRUE,7,4,TRUE
nest_success,obligate_grassland,plant_nwsg,0.15477228419284228,-0.3399525172715333,0.6326730237810506,0.7495416666666667,FALSE,16,4,TRUE
nest_success,obligate_grassland,edge_and_shrub_habitat,-0.43765870393740536,-0.9469279488586806,0.06704411991707385,0.0425,FALSE,6,5,TRUE
