response_metric,model_family,specification,guild,bmp,estimate,lcl,ucl,excludes_zero
abundance,abundance_guild_bmp,primary,facultative_grassland,edge_and_shrub_habitat,0.10835468098119197,-0.142880366283206,0.35628654739731414,FALSE
abundance,abundance_guild_bmp,primary,facultative_grassland,eliminate_pesticides,0.1642675175723334,-0.22666411526543181,0.5401544966282018,FALSE
abundance,abundance_guild_bmp,primary,facultative_grassland,plant_nwsg,0.39059721019637916,0.14563434440749493,0.6409461727279608,TRUE
abundance,abundance_guild_bmp,primary,facultative_grassland,prescribed_fire,-0.34863705127586997,-0.6040333816594295,-0.10163149784228073,TRUE
abundance,abundance_guild_bmp,primary,facultative_grassland,provide_overwintering_habitat,0.024394149933461166,-0.29013664065120554,0.3326198880624022,FALSE
abundance,abundance_guild_bmp,primary,facultative_grassland,reduce_grazing_intensity,0.15015655803072858,-0.32759769394267696,0.6145369593745537,FALSE
abundance,abundance_guild_bmp,primary,facultative_grassland,remove_non_native_shrubs,-0.022250357764312827,-0.3404201041372128,0.30541792358061276,FALSE
abundance,abundance_guild_bmp,primary,facultative_grassland,rotational_grazing,0.08945690493165867,-0.4508861998111497,0.6295849737383656,FALSE
abundance,abundance_guild_bmp,primary,obligate_grassland,edge_and_shrub_habitat,-0.12223667258580623,-0.40198202454862914,0.1571059847840431,FALSE
abundance,abundance_guild_bmp,primary,obligate_grassland,eliminate_pesticides,0.30409358233917105,-0.0868193351521395,0.6914469302598786,FALSE
abundance,abundance_guild_bmp,primary,obligate_grassland,manage_in_patches,0.5592844542915281,0.1869419887047596,0.9282139557236132,TRUE
abundance,abundance_guild_bmp,primary,obligate_grassland,plant_nwsg,0.15121259710057347,-0.083662594189295,0.3958802414173145,FALSE
abundance,abundance_guild_bmp,primary,obligate_grassland,prescribed_fire,0.3192064223716612,0.09850214620757372,0.5392321016025868,TRUE
abundance,abundance_guild_bmp,primary,obligate_grassland,provide_overwintering_habitat,0.4397847705573663,0.02061391820834653,0.855285735948746,TRUE
abundance,abundance_guild_bmp,primary,obligate_grassland,reduce_grazing_intensity,0.4541192597806569,0.02548516013596901,0.8889247737903179,TRUE
abundance,abundance_guild_bmp,primary,obligate_grassland,rotational_grazing,0.08074568315482908,-0.31151617329591014,0.4840433492885658,FALSE
abundance,abundance_guild_bmp,primary,obligate_grassland,stream_exclusion_and_buffers,0.1334024237899127,-0.2737902705450069,0.5396336438458397,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,edge_and_shrub_habitat,0.10835468098119197,-0.142880366283206,0.35628654739731414,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,eliminate_pesticides,0.1642675175723334,-0.22666411526543181,0.5401544966282018,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,plant_nwsg,0.39059721019637916,0.14563434440749493,0.6409461727279608,TRUE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,prescribed_fire,-0.34863705127586997,-0.6040333816594295,-0.10163149784228073,TRUE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,provide_overwintering_habitat,0.024394149933461166,-0.29013664065120554,0.3326198880624022,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,reduce_grazing_intensity,0.15015655803072858,-0.32759769394267696,0.6145369593745537,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,remove_non_native_shrubs,-0.022250357764312827,-0.3404201041372128,0.30541792358061276,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,facultative_grassland,rotational_grazing,0.08945690493165867,-0.4508861998111497,0.6295849737383656,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,obligate_grassland,edge_and_shrub_habitat,-0.12223667258580623,-0.40198202454862914,0.1571059847840431,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,obligate_grassland,eliminate_pesticides,0.30409358233917105,-0.0868193351521395,0.6914469302598786,FALSE
abundance,abundance_guild_bmp,non_grassland_classes_retained,obligate_grassland,manage_in_patches,0.5592844542915281,0.1869419887047596,0.9282139557236132,TRUE
