response_metric,model_family,specification,guild,bmp,estimate,lcl,ucl,excludes_zero,primary_estimate,primary_excludes_zero,is_new_cell,estimate_shift,conclusion_changed
abundance,abundance_pooled_bmp,outliers_removed,all_grassland,install_nest_boxes,0.029580394374400992,-0.4812698603857936,0.5145097481791342,FALSE,0.5975824023990427,TRUE,FALSE,-0.5680020080246417,TRUE
abundance,abundance_pooled_bmp,most_influential_study_removed,all_grassland,install_nest_boxes,0.04168930390564333,-0.5790405457006337,0.6529395233635217,FALSE,0.5975824023990427,TRUE,FALSE,-0.5558930984933994,TRUE
abundance,abundance_guild_bmp,great_plains_only,facultative_grassland,plant_nwsg,-0.12212626099728338,-0.6985264046607881,0.4623225802222845,FALSE,0.39059721019637916,TRUE,FALSE,-0.5127234711936626,TRUE
abundance,abundance_guild_bmp,great_plains_dropped,facultative_grassland,prescribed_fire,-0.03513502693550323,-0.45456281757552525,0.3816259549129094,FALSE,-0.34863705127586997,TRUE,FALSE,0.3135020243403667,TRUE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,plant_nwsg,0.10503458657835854,-0.21958017952718983,0.42339423581862784,FALSE,0.39059721019637916,TRUE,FALSE,-0.28556262361802065,TRUE
abundance,abundance_guild_bmp,one_effect_per_study_cell,obligate_grassland,reduce_grazing_intensity,0.17168667266727433,-0.44094575659282076,0.770715148102449,FALSE,0.4541192597806569,TRUE,FALSE,-0.2824325871133826,TRUE
abundance,abundance_pooled_bmp,great_plains_only,all_grassland,plant_nwsg,-0.04185619969875436,-0.39155595026471235,0.3278820779958905,FALSE,0.22510084949704268,TRUE,FALSE,-0.26695704919579705,TRUE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,prescribed_fire,-0.12195434911010172,-0.4601163440866476,0.21623587427128113,FALSE,-0.34863705127586997,TRUE,FALSE,0.22668270216576825,TRUE
abundance,abundance_pooled_bmp,great_plains_dropped,all_grassland,plant_nwsg,0.4474022430989667,0.16480059214485043,0.7487034084284339,TRUE,0.22510084949704268,TRUE,FALSE,0.22230139360192402,FALSE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,edge_and_shrub_habitat,0.33050783660364247,-0.012152008267956824,0.6733922576497882,FALSE,0.10835468098119197,FALSE,FALSE,0.2221531556224505,FALSE
abundance,abundance_guild_bmp,most_influential_study_removed,facultative_grassland,prescribed_fire,-0.5530959300732196,-0.8249140696375197,-0.27672441301545386,TRUE,-0.34863705127586997,TRUE,FALSE,-0.20445887879734959,FALSE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,rotational_grazing,-0.11345560940275069,-0.7960781809929218,0.5597044685746821,FALSE,0.08945690493165867,FALSE,FALSE,-0.20291251433440938,FALSE
abundance,abundance_guild_bmp,most_influential_study_removed,obligate_grassland,prescribed_fire,0.12077378235802269,-0.09940929391864044,0.3511824877685392,FALSE,0.3192064223716612,TRUE,FALSE,-0.1984326400136385,TRUE
abundance,abundance_guild_bmp,one_effect_per_study_cell,obligate_grassland,stream_exclusion_and_buffers,0.32837597013692865,-0.22792669038269545,0.8861818458799166,FALSE,0.1334024237899127,FALSE,FALSE,0.19497354634701594,FALSE
abundance,abundance_pooled_bmp,great_plains_dropped,all_grassland,reduce_grazing_intensity,0.13097441864350676,-0.6826750668332523,0.9446844180671696,FALSE,0.31542421898842354,FALSE,FALSE,-0.1844498003449168,FALSE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,provide_overwintering_habitat,0.2087687250900454,-0.2606525838066757,0.6719072026688743,FALSE,0.024394149933461166,FALSE,FALSE,0.18437457515658423,FALSE
abundance,abundance_guild_bmp,great_plains_dropped,facultative_grassland,plant_nwsg,0.5723747148089839,0.29592943441199127,0.8594959369491735,TRUE,0.39059721019637916,TRUE,FALSE,0.18177750461260478,FALSE
abundance,abundance_guild_bmp,southeast_us_dropped,obligate_grassland,edge_and_shrub_habitat,-0.2910548323879846,-0.6090714430887587,0.030809124384058247,FALSE,-0.12223667258580623,FALSE,FALSE,-0.16881815980217835,FALSE
abundance,abundance_pooled_bmp,southeast_us_dropped,all_grassland,edge_and_shrub_habitat,-0.19473207121271674,-0.45269346219191114,0.06161688584077222,FALSE,-0.026491113319018315,FALSE,FALSE,-0.16824095789369842,FALSE
abundance,abundance_guild_bmp,one_effect_per_study_cell,obligate_grassland,prescribed_fire,0.1516252901724694,-0.10143857249160167,0.4032343610405388,FALSE,0.3192064223716612,TRUE,FALSE,-0.1675811321991918,TRUE
abundance,abundance_guild_bmp,europe_dropped,facultative_grassland,eliminate_pesticides,0.3221893141552769,-0.17156857100391604,0.7789923974090746,FALSE,0.1642675175723334,FALSE,FALSE,0.1579217965829435,FALSE
abundance,abundance_guild_bmp,southeast_us_dropped,facultative_grassland,edge_and_shrub_habitat,-0.04904037012043236,-0.33759008667775725,0.23162290518751244,FALSE,0.10835468098119197,FALSE,FALSE,-0.15739505110162433,FALSE
abundance,abundance_pooled_bmp,group_means_only,all_grassland,manage_in_patches,0.12731015231495113,-0.4051357757763272,0.6540238592026338,FALSE,0.27624572064862996,FALSE,FALSE,-0.14893556833367882,FALSE
abundance,abundance_pooled_bmp,outliers_removed,all_grassland,manage_in_patches,0.4231338880560617,0.09080614662872334,0.7601453448831471,TRUE,0.27624572064862996,FALSE,FALSE,0.14688816740743177,TRUE
abundance,abundance_guild_bmp,most_influential_study_removed,obligate_grassland,manage_in_patches,0.7057747523386952,0.3210305218246581,1.0909052202140541,TRUE,0.5592844542915281,TRUE,FALSE,0.14649029804716718,FALSE
abundance,abundance_guild_bmp,one_effect_per_study_cell,facultative_grassland,reduce_grazing_intensity,0.2934897986019044,-0.32451638033688357,0.9061178692978958,FALSE,0.15015655803072858,FALSE,FALSE,0.1433332405711758,FALSE
abundance,abundance_guild_bmp,southeast_us_dropped,facultative_grassland,plant_nwsg,0.2518757134206162,-0.009904681235926329,0.5154750704161902,FALSE,0.39059721019637916,TRUE,FALSE,-0.13872149677576295,TRUE
abundance,abundance_pooled_bmp,group_means_only,all_grassland,reduce_grazing_intensity,0.17685046188422598,-0.21758354716359712,0.5663936380509398,FALSE,0.31542421898842354,FALSE,FALSE,-0.13857375710419756,FALSE
abundance,abundance_guild_bmp,outliers_removed,facultative_grassland,eliminate_pesticides,0.3012663251432268,3.8636223933525887e-4,0.5943436722765878,TRUE,0.1642675175723334,FALSE,FALSE,0.13699880757089342,TRUE
abundance,abundance_guild_bmp,great_plains_only,obligate_grassland,manage_in_patches,0.4284025573838066,-0.08408863866843197,0.9210978402510566,FALSE,0.5592844542915281,TRUE,FALSE,-0.13088189690772145,TRUE
abundance,abundance_guild_bmp,southeast_us_dropped,facultative_grassland,prescribed_fire,-0.47799746499409074,-0.7430916088174042,-0.2131539915648561,TRUE,-0.34863705127586997,TRUE,FALSE,-0.12936041371822077,FALSE
abundance,abundance_pooled_bmp,guild_assigned_only,all_grassland,eliminate_pesticides,0.2327151436356465,-0.13462114683370038,0.5835593431119436,FALSE,0.3593323425320222,FALSE,FALSE,-0.12661719889637568,FALSE
abundance,abundance_pooled_bmp,tighter_priors,all_grassland,install_nest_boxes,0.47131601881226526,-0.0508483860703363,0.9902774613911745,FALSE,0.5975824023990427,TRUE,FALSE,-0.12626638358677744,TRUE
abundance,abundance_pooled_bmp,outliers_removed,all_grassland,rotational_grazing,0.16937309383658283,-0.14694297479326984,0.49665989880499284,FALSE,0.047732558259714675,FALSE,FALSE,0.12164053557686816,FALSE
abundance,abundance_guild_bmp,group_means_only,obligate_grassland,manage_in_patches,0.4400497287764591,-0.11143105902132693,0.9770679843589813,FALSE,0.5592844542915281,TRUE,FALSE,-0.11923472551506897,TRUE
abundance,abundance_pooled_bmp,one_effect_per_study_cell,all_grassland,reduce_grazing_intensity,0.4338751927417356,-0.04335089122260275,0.8616904589820695,FALSE,0.31542421898842354,FALSE,FALSE,0.11845097375331204,FALSE
