bmp,bmp_name
add_flushing_bar,Add a Flushing Bar
delay_hay,Avoid Haying During Nesting Season
dont_mow_at_night,Do not Mow at Night
eliminate_pesticides,Eliminate Pesticides
stream_exclusion_and_buffers,Exclude Livestock From Streams and Plant Vegetative Buffers
prescribed_fire,Implement Prescribed Fire
install_nest_boxes,Install Nest-Boxes
manage_in_patches,Manage Fields in Patches
mow_towards_refugia,Mow Towards Refugia
plant_nwsg,Plant Native Grasses and Forbs
edge_and_shrub_habitat,Promote Edge and Shrub Habitat
provide_overwintering_habitat,Provide Overwintering Structure and Resources
raise_blades,Raise Cutting Blades
grazing_intensity,Reduce Grazing Intensity
reduce_grazing_intensity,Reduce Grazing Intensity
remove_non_native_shrubs,Remove Non-native Shrubs
rotational_grazing,Rotate Livestock Between Pastures
