bmp,bmp_label
add_flushing_bar,Add a flushing bar
delay_hay,Avoid haying during the nesting season
dont_mow_at_night,Do not mow at night
eliminate_pesticides,Eliminate pesticides
stream_exclusion_and_buffers,Exclude livestock from streams and plant buffers
prescribed_fire,Implement prescribed fire
install_nest_boxes,Install nest-boxes
manage_in_patches,Manage fields in patches
mow_towards_refugia,Mow towards refugia
plant_nwsg,Plant native grasses and forbs
edge_and_shrub_habitat,Promote edge and shrub habitat
provide_overwintering_habitat,Provide overwintering structure and resources
raise_blades,Raise cutting blades
grazing_intensity,Reduce grazing intensity
reduce_grazing_intensity,Reduce grazing intensity
remove_non_native_shrubs,Remove non-native shrubs
rotational_grazing,Rotate livestock between pastures
