species,source,classification
breeding_shrub_scrub_species,hand_entered,shrub
indigo_bunting_blue_grosbeak,hand_entered,facultative
meadowlark_spp,hand_entered,obligate
artificial_nests,hand_entered,
artificial_nests_northern_bobwhite,hand_entered,
artificial_nests_chestnut_sided_warbler,hand_entered,
artificial_nests_ovenbird,hand_entered,
acadian_flycatcher_indigo_bunting,article_classified,shrub; forest; facultative
all_species,article_classified,
artificial_nests,article_classified,
artificial_nests_chestnut_sided_warbler,article_classified,
artificial_nests_northern_bobwhite,article_classified,
artificial_nests_ovenbird,article_classified,
bird_and_mammal_species,article_classified,
breeding_grassland_species,article_classified,obligate
breeding_species,article_classified,
carnivores,article_classified,
edge_species,article_classified,facultative
facultative_grassland_species,article_classified,facultative
farmland_bird_indicator_species,article_classified,obligate
farmland_specialists,article_classified,obligate
frugivores,article_classified,
generalists,article_classified,
granivores,article_classified,
grasshopper_sparrow_henslows_sparrow,article_classified,facultative
grassland_facultative_species,article_classified,facultative
grassland_obligates,article_classified,obligate
grassland_specialists,article_classified,obligate
grassland_species,article_classified,facultative
ground_breeders,article_classified,facultative
ground_nesters,article_classified,obligate
insectivores,article_classified,
non_grassland_species,article_classified,
non_insectivores,article_classified,
obligate_grassland_species,article_classified,obligate
omnivores,article_classified,
passerines,article_classified,
resident_species,article_classified,
residents,article_classified,
shrub_species,article_classified,shrub
sparrows,article_classified,
specialists,article_classified,
tits,article_classified,
wintering_shrub_scrub_species,article_classified,shrub
wintering_species,article_classified,
waders,article_classified,
woodland_species,article_classified,woodland
spotted_nothura,birds_of_the_world,obligate
red_billed_leiothrix,birds_of_the_world,forest; scrub
